,glide_scores
DEC_0817,-7.45098584191032
DEC_0819,-6.66006109809933
DEC_0856,-6.63625337186524
DEC_0882,-6.53861632124967
DEC_0816,-6.43499589821667
DEC_0850,-6.3989374322988
DEC_0812,-6.18738332055847
DEC_0839,-6.13149210886377
DEC_0824,-6.1289021184641
DEC_0964,-6.03807265006485
DEC_0827,-5.95973058415229
DEC_0825,-5.95899687964587
DEC_0805,-5.91885847075258
DEC_0879,-5.84737058449776
DEC_0873,-5.80872584174744
DEC_0962,-5.79709118511831
DEC_0927,-5.78530691108153
DEC_0796,-5.73688717522649
DEC_0832,-5.71746867304122
DEC_0868,-5.69695298711643
DEC_0871,-5.68738804358628
DEC_0822,-5.67114020206312
DEC_0841,-5.62936937644606
DEC_0885,-5.6169269031451
DEC_0889,-5.57605923681104
DEC_0858,-5.56741378097701
DEC_0923,-5.54273808701547
DEC_0831,-5.51673687019798
DEC_0833,-5.5091530925807
DEC_0867,-5.48247356009462
DEC_0799,-5.45206800229919
DEC_0849,-5.43166088457057
DEC_0855,-5.40501450686178
DEC_0840,-5.35305459974857
DEC_0876,-5.34638390292018
DEC_0893,-5.32155795694792
DEC_0973,-5.31933389428949
DEC_0894,-5.31501453093581
DEC_0907,-5.31454271622212
DEC_0951,-5.30355738963211
DEC_0862,-5.29531132368004
DEC_0857,-5.29436710523138
DEC_0883,-5.29046542100537
DEC_0884,-5.29046542100537
DEC_0952,-5.2816720701094
DEC_0901,-5.25693263962204
DEC_0842,-5.25435581195094
DEC_0959,-5.24440367797365
DEC_0818,-5.22472720013098
DEC_0919,-5.21002092803292
DEC_0843,-5.19077561467196
DEC_0834,-5.18925979647481
DEC_0804,-5.18828645663
DEC_0888,-5.17380778387953
DEC_0897,-5.17310044643144
DEC_0861,-5.16331045570061
DEC_0974,-5.15705864967055
DEC_0860,-5.1565144372518
DEC_0972,-5.15304393778644
DEC_0891,-5.14506263651258
DEC_0886,-5.14500215239116
DEC_0844,-5.13153144743748
DEC_0800,-5.12915374001061
DEC_0872,-5.12080495763769
DEC_0971,-5.08071251775823
DEC_0790,-5.07566575582356
DEC_0944,-5.06262499751142
DEC_0830,-5.05347699218565
DEC_0859,-5.04529410664944
DEC_0815,-5.04178147704229
DEC_0892,-5.03992354535784
DEC_0895,-5.02940099759899
DEC_0785,-5.01842664893935
DEC_0801,-5.0103844785822
DEC_0869,-5.00518910555437
DEC_0877,-4.98398961806387
DEC_0908,-4.98003060310377
DEC_0866,-4.9557798823869
DEC_0795,-4.94245769156815
DEC_0809,-4.94090806711848
DEC_0918,-4.92676519821616
DEC_0896,-4.89876860582192
DEC_0941,-4.89504409780267
DEC_0977,-4.8700044468878
DEC_0878,-4.85008753801218
DEC_0791,-4.84410254722921
DEC_0793,-4.82647902794154
DEC_0854,-4.82147169142638
DEC_0853,-4.81621250042297
DEC_0870,-4.81092993008847
DEC_0979,-4.78357870178194
DEC_0890,-4.7807127583564
DEC_0961,-4.77941688910162
DEC_0826,-4.76465300272821
DEC_0823,-4.75125930266242
