,glide_scores
DEC_1185,-6.8685711680035
DEC_1285,-6.85389179947096
DEC_1265,-6.58517134194162
DEC_1327,-6.47120237655526
DEC_1187,-6.4510676821269
DEC_1309,-6.41237797315175
DEC_1188,-6.29969368739284
DEC_1182,-6.04662505156112
DEC_1303,-5.94218067620637
DEC_1222,-5.8873575261341
DEC_1235,-5.862834373932
DEC_1189,-5.83690285967055
DEC_1193,-5.82091373394535
DEC_1337,-5.82067167371064
DEC_1191,-5.81699352293051
DEC_1200,-5.79106411818004
DEC_1359,-5.7777133536735
DEC_1194,-5.76647402487312
DEC_1209,-5.70598619822355
DEC_1330,-5.65150767321913
DEC_1298,-5.62814295122519
DEC_1184,-5.61444107131325
DEC_1203,-5.60146790809526
DEC_1333,-5.60102569881573
DEC_1243,-5.59236057784891
DEC_1292,-5.53562041193057
DEC_1242,-5.52956084670827
DEC_1281,-5.48110208248962
DEC_1208,-5.45884805837656
DEC_1223,-5.44161876861286
DEC_1336,-5.40856998383211
DEC_1338,-5.38975653361107
DEC_1326,-5.37967823427006
DEC_1340,-5.36017790403881
DEC_1190,-5.3525696663207
DEC_1216,-5.35112275911746
DEC_1271,-5.34211112149953
DEC_1225,-5.30231077440176
DEC_1196,-5.30047362606043
DEC_1250,-5.2986664623332
DEC_1372,-5.26726372160025
DEC_1351,-5.25831027570014
DEC_1248,-5.25096994955038
DEC_1312,-5.2382111797228
DEC_1355,-5.22285019607821
DEC_1218,-5.21192759191965
DEC_1183,-5.21178086919319
DEC_1318,-5.17865876407649
DEC_1256,-5.17018535845927
DEC_1241,-5.16798080211379
DEC_1278,-5.11855945559302
DEC_1284,-5.09474287675635
DEC_1224,-5.08517787381022
DEC_1198,-5.08386763115049
DEC_1275,-5.07723697938756
DEC_1201,-5.07572799573566
DEC_1313,-5.06790608317529
DEC_1334,-5.06541910321408
DEC_1302,-5.06520186178403
DEC_1263,-5.06411365209701
DEC_1276,-5.05277519823937
DEC_1344,-5.00756464686316
DEC_1269,-4.99335998468298
DEC_1291,-4.98147677760379
DEC_1339,-4.97976598025955
DEC_1373,-4.95121992752892
DEC_1229,-4.94901701129849
DEC_1332,-4.9263970756688
DEC_1329,-4.92371277245141
DEC_1293,-4.90334834820534
DEC_1199,-4.90031920674562
DEC_1280,-4.89470292328275
DEC_1214,-4.89395367660907
DEC_1290,-4.89277328617483
DEC_1192,-4.89137521632602
DEC_1270,-4.8882937780813
DEC_1181,-4.88631277288801
DEC_1311,-4.88584575046816
DEC_1226,-4.87932683743515
DEC_1267,-4.85699238817695
DEC_1328,-4.80421830785362
DEC_1251,-4.79951703568249
DEC_1215,-4.79615083041845
DEC_1257,-4.78828150474967
DEC_1375,-4.75672744454491
DEC_1305,-4.75588949429313
DEC_1261,-4.75441330812696
DEC_1288,-4.75337811012882
DEC_1324,-4.74764234897826
DEC_1210,-4.73040304256761
DEC_1376,-4.72990873698706
DEC_1320,-4.72513922853259
DEC_1341,-4.71533332878474
DEC_1322,-4.70754135716022
DEC_1236,-4.70561747520784
DEC_1306,-4.70322059538335
DEC_1259,-4.69734240809962
DEC_1296,-4.6890925791788
DEC_1283,-4.68135045830701
DEC_1317,-4.66814190369615
DEC_1356,-4.66174993234754
DEC_1219,-4.65854154739856
DEC_1231,-4.657673420546
DEC_1310,-4.64856456052651
DEC_1367,-4.64416808496923
DEC_1315,-4.64339955152313
DEC_1186,-4.64165236531708
DEC_1279,-4.63192199723429
DEC_1220,-4.63179439686849
DEC_1228,-4.62003373526758
DEC_1319,-4.61694812208662
DEC_1289,-4.613694240234
DEC_1377,-4.60773530346226
DEC_1246,-4.60310529878358
DEC_1212,-4.59575865266552
DEC_1308,-4.57448388321574
DEC_1238,-4.57257613481126
DEC_1342,-4.56423680709832
DEC_1233,-4.54781761243158
DEC_1260,-4.54345923947374
DEC_1363,-4.54335172405838
DEC_1262,-4.54126496448573
DEC_1321,-4.53543544660919
DEC_1264,-4.53435886111108
DEC_1237,-4.52563986172882
DEC_1282,-4.52520913307615
DEC_1272,-4.52057183971412
DEC_1202,-4.5128337142471
DEC_1213,-4.49893074590769
DEC_1307,-4.49411571796671
DEC_1370,-4.48921133011628
DEC_1295,-4.46444835584694
DEC_1266,-4.4637754648403
DEC_1325,-4.46015953481982
DEC_1369,-4.45705003723198
DEC_1331,-4.44680792618479
DEC_1366,-4.43314878230289
DEC_1287,-4.43039376750919
DEC_1301,-4.39384169906048
DEC_1352,-4.38018078674583
DEC_1205,-4.36572912201925
DEC_1335,-4.35289996582549
DEC_1300,-4.35256306935907
DEC_1362,-4.34502678858054
DEC_1368,-4.33273047606035
DEC_1350,-4.32200490458267
DEC_1348,-4.32186782525413
DEC_1240,-4.31970546850008
DEC_1211,-4.29513857376456
DEC_1227,-4.27578451532092
DEC_1345,-4.27047733145625
DEC_1374,-4.26430487009784
DEC_1358,-4.26316039278114
DEC_1346,-4.25686778413273
DEC_1268,-4.24608256893731
DEC_1204,-4.23597160203789
DEC_1230,-4.23549978849163
DEC_1347,-4.2304404580407
DEC_1294,-4.22775095883234
DEC_1297,-4.21867623244984
DEC_1380,-4.21411162401477
DEC_1299,-4.20639078571962
DEC_1274,-4.18308410145397
DEC_1304,-4.18096874175904
DEC_1232,-4.13438325351784
DEC_1247,-4.132375696834
DEC_1255,-4.11899423244381
DEC_1357,-4.111826151217
DEC_1361,-4.1111025756265
DEC_1277,-4.10214364183818
DEC_1323,-4.09128083419386
DEC_1197,-4.06541551300114
DEC_1371,-4.05867328476546
DEC_1364,-4.05857531955089
DEC_1217,-4.04019724051678
DEC_1316,-4.0146653117784
DEC_1354,-3.99466475363541
DEC_1239,-3.97948580071999
DEC_1365,-3.9249194430069
DEC_1360,-3.92317633834142
DEC_1378,-3.91460353870903
DEC_1253,-3.91288183481125
DEC_1245,-3.89971853223067
DEC_1353,-3.88161272385153
DEC_1234,-3.86916989709841
DEC_1273,-3.85618802624652
DEC_1286,-3.83320665058388
DEC_1343,-3.78905783437959
DEC_1249,-3.76866755685122
DEC_1252,-3.63630119201698
DEC_1349,-3.61510107102294
DEC_1195,-3.42565226596649
DEC_1244,-3.37433690449898
DEC_1221,-3.35813319683489
DEC_1314,-2.96208454234766
DEC_0817,-7.45098584191032
DEC_0819,-6.66006109809933
DEC_0856,-6.63625337186524
DEC_0882,-6.53861632124967
DEC_0816,-6.43499589821667
DEC_0850,-6.3989374322988
DEC_0812,-6.18738332055847
DEC_0839,-6.13149210886377
DEC_0824,-6.1289021184641
DEC_0964,-6.03807265006485
DEC_0827,-5.95973058415229
DEC_0825,-5.95899687964587
DEC_0805,-5.91885847075258
DEC_0879,-5.84737058449776
DEC_0873,-5.80872584174744
DEC_0962,-5.79709118511831
DEC_0927,-5.78530691108153
DEC_0796,-5.73688717522649
DEC_0832,-5.71746867304122
DEC_0868,-5.69695298711643
DEC_0871,-5.68738804358628
DEC_0822,-5.67114020206312
DEC_0841,-5.62936937644606
DEC_0885,-5.6169269031451
DEC_0889,-5.57605923681104
DEC_0858,-5.56741378097701
DEC_0923,-5.54273808701547
DEC_0831,-5.51673687019798
DEC_0833,-5.5091530925807
DEC_0867,-5.48247356009462
DEC_0799,-5.45206800229919
DEC_0849,-5.43166088457057
DEC_0855,-5.40501450686178
DEC_0840,-5.35305459974857
DEC_0876,-5.34638390292018
DEC_0893,-5.32155795694792
DEC_0973,-5.31933389428949
DEC_0894,-5.31501453093581
DEC_0907,-5.31454271622212
DEC_0951,-5.30355738963211
DEC_0862,-5.29531132368004
DEC_0857,-5.29436710523138
DEC_0883,-5.29046542100537
DEC_0884,-5.29046542100537
DEC_0952,-5.2816720701094
DEC_0901,-5.25693263962204
DEC_0842,-5.25435581195094
DEC_0959,-5.24440367797365
DEC_0818,-5.22472720013098
DEC_0919,-5.21002092803292
DEC_0843,-5.19077561467196
DEC_0834,-5.18925979647481
DEC_0804,-5.18828645663
DEC_0888,-5.17380778387953
DEC_0897,-5.17310044643144
DEC_0861,-5.16331045570061
DEC_0974,-5.15705864967055
DEC_0860,-5.1565144372518
DEC_0972,-5.15304393778644
DEC_0891,-5.14506263651258
DEC_0886,-5.14500215239116
DEC_0844,-5.13153144743748
DEC_0800,-5.12915374001061
DEC_0872,-5.12080495763769
DEC_0971,-5.08071251775823
DEC_0790,-5.07566575582356
DEC_0944,-5.06262499751142
DEC_0830,-5.05347699218565
DEC_0859,-5.04529410664944
DEC_0815,-5.04178147704229
DEC_0892,-5.03992354535784
DEC_0895,-5.02940099759899
DEC_0785,-5.01842664893935
DEC_0801,-5.0103844785822
DEC_0869,-5.00518910555437
DEC_0877,-4.98398961806387
DEC_0908,-4.98003060310377
DEC_0866,-4.9557798823869
DEC_0795,-4.94245769156815
DEC_0809,-4.94090806711848
DEC_0918,-4.92676519821616
DEC_0896,-4.89876860582192
DEC_0941,-4.89504409780267
DEC_0977,-4.8700044468878
DEC_0878,-4.85008753801218
DEC_0791,-4.84410254722921
DEC_0793,-4.82647902794154
DEC_0854,-4.82147169142638
DEC_0853,-4.81621250042297
DEC_0870,-4.81092993008847
DEC_0979,-4.78357870178194
DEC_0890,-4.7807127583564
DEC_0961,-4.77941688910162
DEC_0826,-4.76465300272821
DEC_0823,-4.75125930266242
DEC_0965,-4.75084534560216
DEC_0880,-4.73947767649809
DEC_0874,-4.73644076791363
DEC_0836,-4.73337323841696
DEC_0837,-4.73337323841696
DEC_0950,-4.71760571381505
DEC_0803,-4.7017004630119
DEC_0865,-4.68481274652703
DEC_0922,-4.68440069708143
DEC_0851,-4.66928851128682
DEC_0903,-4.65325855045737
DEC_0788,-4.64265832558963
DEC_0939,-4.626697109795
DEC_0852,-4.62424963663651
DEC_0887,-4.59691454453685
DEC_0911,-4.58618561379598
DEC_0921,-4.5847180572478
DEC_0848,-4.57319537400419
DEC_0966,-4.57199982488649
DEC_0910,-4.56381144502869
DEC_0963,-4.56282447819435
DEC_0829,-4.55257037279867
DEC_0958,-4.54721525893737
DEC_0953,-4.52595015849599
DEC_0931,-4.49521202507038
DEC_0875,-4.49127977110317
DEC_0814,-4.47454120921819
DEC_0881,-4.47154603727806
DEC_0932,-4.4607806786284
DEC_0863,-4.45829476320811
DEC_0978,-4.44853291511698
DEC_0846,-4.4478580653962
DEC_0942,-4.44238829468006
DEC_0933,-4.43715762947564
DEC_0909,-4.4267963184179
DEC_0811,-4.41576681177033
DEC_0789,-4.40363546851058
DEC_0934,-4.40014085056567
DEC_0960,-4.38435894792667
DEC_0976,-4.37863616193829
DEC_0821,-4.34638433183461
DEC_0792,-4.34414421850382
DEC_0929,-4.33644375270151
DEC_0967,-4.33633166959633
DEC_0902,-4.32571323140409
DEC_0916,-4.30459383214891
DEC_0806,-4.29741845447785
DEC_0838,-4.2961874795824
DEC_0783,-4.29283174468479
DEC_0835,-4.29279777910386
DEC_0920,-4.29220904486282
DEC_0864,-4.2847981652812
DEC_0813,-4.26775787270835
DEC_0975,-4.26269267942061
DEC_0787,-4.25074851881576
DEC_0957,-4.24392411094913
DEC_0940,-4.24101203627286
DEC_0914,-4.2369128818186
DEC_0820,-4.22192527837941
DEC_0912,-4.21901628160378
DEC_0905,-4.21017951569866
DEC_0968,-4.16068886765622
DEC_0913,-4.15936876505798
DEC_0954,-4.14862586418058
DEC_0946,-4.14688263079308
DEC_0917,-4.08852397152147
DEC_0955,-4.07781457232753
DEC_0969,-4.07720427899171
DEC_0915,-4.06177312204324
DEC_0949,-4.05015863782565
DEC_0786,-4.02551439786657
DEC_0935,-4.0245171663242
DEC_0906,-3.97983484666424
DEC_0899,-3.94243610484769
DEC_0970,-3.94229460177025
DEC_0784,-3.9389366360783
DEC_0937,-3.93260780804162
DEC_0948,-3.91687684184943
DEC_0928,-3.91619335804797
DEC_0898,-3.90473610484769
DEC_0798,-3.90222283530903
DEC_0808,-3.89813511295162
DEC_0930,-3.88680349036392
DEC_0945,-3.85685697058668
DEC_0810,-3.8491151027226
DEC_0924,-3.83756310928918
DEC_0900,-3.77393826676002
DEC_0947,-3.76059180096955
DEC_0794,-3.75998587124506
DEC_0782,-3.74803987974363
DEC_0847,-3.74678302641578
DEC_0956,-3.72557806223505
DEC_0802,-3.70892370115778
DEC_0936,-3.70751696724445
DEC_0828,-3.67460073489156
DEC_0938,-3.64161123352558
DEC_0943,-3.63127494762221
DEC_0904,-3.62507390474414
DEC_0797,-3.61710088984323
DEC_0807,-3.56898544211643
DEC_0845,-3.55214715495464
DEC_0925,-3.40739025745849
DEC_0781,-3.18540966416436
DEC_0926,-2.27668882680466
DEC_1877,-6.23871324065549
DEC_1934,-6.23384797823047
DEC_1908,-6.20276007128964
DEC_1951,-6.17969165418918
DEC_1806,-6.13280848056345
DEC_1835,-6.1255826786853
DEC_1929,-6.09152889219499
DEC_1939,-6.06696820467007
DEC_1919,-6.05344892364459
DEC_1968,-6.02211693990792
DEC_1958,-5.99696731966698
DEC_1804,-5.96689920135591
DEC_1872,-5.93542442675505
DEC_1826,-5.86463469320615
DEC_1942,-5.85657178632195
DEC_1921,-5.82706507649783
DEC_1980,-5.78809846885697
DEC_1911,-5.78430531972424
DEC_1920,-5.76870412752441
DEC_1894,-5.75844862701991
DEC_1965,-5.75226703421625
DEC_1805,-5.74624281397136
DEC_1828,-5.73429882822991
DEC_1943,-5.72883377077525
DEC_1853,-5.71274879956602
DEC_1809,-5.67142229844314
DEC_1781,-5.66052177166044
DEC_1814,-5.65592857520921
DEC_1923,-5.63758583913324
DEC_1903,-5.61630752225677
DEC_1792,-5.61476733774514
DEC_1808,-5.61251460987533
DEC_1959,-5.60755868206228
DEC_1831,-5.5452323518122
DEC_1941,-5.54350706861944
DEC_1807,-5.5426671497395
DEC_1913,-5.53853945737685
DEC_1845,-5.53667747295948
DEC_1938,-5.49775829118207
DEC_1876,-5.47839667623781
DEC_1971,-5.44723569560676
DEC_1907,-5.42116757457313
DEC_1818,-5.39153595909564
DEC_1850,-5.39133857099938
DEC_1886,-5.35824557113084
DEC_1912,-5.34611858805388
DEC_1802,-5.33842110434965
DEC_1880,-5.33717370626366
DEC_1862,-5.33661612271653
DEC_1879,-5.33175917103576
DEC_1819,-5.31196850928449
DEC_1839,-5.30689603883387
DEC_1878,-5.30197280894244
DEC_1843,-5.2925103175751
DEC_1901,-5.29030883991828
DEC_1930,-5.28640180934351
DEC_1917,-5.27853864568576
DEC_1817,-5.2768022825687
DEC_1918,-5.26482450594426
DEC_1978,-5.24140085895219
DEC_1928,-5.22670575850215
DEC_1887,-5.22548536738198
DEC_1824,-5.21943988181514
DEC_1799,-5.20116579341333
DEC_1793,-5.16836334589386
DEC_1948,-5.16587625905609
DEC_1783,-5.16265808025222
DEC_1900,-5.16067252398882
DEC_1868,-5.15352674249267
DEC_1909,-5.14197858773062
DEC_1844,-5.13826359909326
DEC_1955,-5.12364946551581
DEC_1865,-5.12256383719208
DEC_1874,-5.11955386203865
DEC_1871,-5.11127700038462
DEC_1899,-5.10589304633815
DEC_1834,-5.10029784951645
DEC_1836,-5.10007262595051
DEC_1794,-5.08015899991941
DEC_1937,-5.0788316701492
DEC_1925,-5.06882678029668
DEC_1789,-5.06507242986791
DEC_1906,-5.06439864766262
DEC_1785,-5.06374593860996
DEC_1905,-5.05820131309141
DEC_1910,-5.05107140076236
DEC_1856,-5.02938708704109
DEC_1796,-5.01267217897185
DEC_1915,-5.01161319192887
DEC_1967,-5.00775616317444
DEC_1892,-4.9814483925035
DEC_1829,-4.97957799894158
DEC_1820,-4.97697232454705
DEC_1904,-4.95901145374389
DEC_1947,-4.93410091729096
DEC_1849,-4.92803830653969
DEC_1957,-4.92095506679754
DEC_1840,-4.917557945653
DEC_1860,-4.9109685039404
DEC_1822,-4.90594734348806
DEC_1885,-4.89513858325014
DEC_1916,-4.89352270881412
DEC_1898,-4.88698352392248
DEC_1800,-4.882829455059
DEC_1895,-4.85043999439498
DEC_1970,-4.84460484085216
DEC_1926,-4.84208042475334
DEC_1851,-4.8221013038594
DEC_1833,-4.80144100570549
DEC_1961,-4.79320120448427
DEC_1787,-4.77505270493252
DEC_1812,-4.77142205812155
DEC_1884,-4.77063914889294
DEC_1857,-4.75926555909071
DEC_1867,-4.74393056801832
DEC_1841,-4.74297379083584
DEC_1974,-4.74147075789073
DEC_1975,-4.74147075789073
DEC_1977,-4.7256098365247
DEC_1815,-4.71534908492627
DEC_1813,-4.70779569666839
DEC_1954,-4.70597909448735
DEC_1788,-4.68762327997115
DEC_1846,-4.68455170930187
DEC_1969,-4.67993732353711
DEC_1816,-4.65651036960987
DEC_1963,-4.64775972994555
DEC_1864,-4.64401843749912
DEC_1946,-4.63837796882659
DEC_1897,-4.63586575080297
DEC_1979,-4.62019847978262
DEC_1893,-4.6001856525068
DEC_1838,-4.58920390592114
DEC_1945,-4.57622662585772
DEC_1801,-4.57138095405044
DEC_1842,-4.5639210766345
DEC_1823,-4.56254105099725
DEC_1786,-4.56072907461937
DEC_1889,-4.55821018004629
DEC_1782,-4.55717517261503
DEC_1825,-4.54930864705756
DEC_1890,-4.54685337384337
DEC_1932,-4.53395484262131
DEC_1902,-4.52850457620939
DEC_1803,-4.52824208946222
DEC_1952,-4.51307332659179
DEC_1972,-4.5115877951659
DEC_1933,-4.51116686596041
DEC_1924,-4.50470273176129
DEC_1827,-4.49711169401972
DEC_1936,-4.45295155974508
DEC_1960,-4.44690234364022
DEC_1811,-4.43584145461762
DEC_1944,-4.41454541305049
DEC_1858,-4.41013540242301
DEC_1927,-4.39766126528167
DEC_1973,-4.38116181203485
DEC_1854,-4.3710382852497
DEC_1966,-4.36441720000797
DEC_1935,-4.36000586457128
DEC_1949,-4.35776861794591
DEC_1866,-4.34797888250948
DEC_1810,-4.34017793590489
DEC_1837,-4.32290771192207
DEC_1863,-4.31937134880232
DEC_1861,-4.26603223023844
DEC_1830,-4.25784628789776
DEC_1976,-4.25277006837942
DEC_1859,-4.24731890061893
DEC_1855,-4.24468644744809
DEC_1791,-4.23648154099568
DEC_1940,-4.22057320879991
DEC_1875,-4.20344972841269
