,glide_scores
DEC_1567,-8.86013616352668
DEC_1494,-8.75761739618706
DEC_1423,-8.37456332732068
DEC_1554,-8.23280538875221
DEC_1497,-8.15922646457605
DEC_1568,-8.1266772798601
DEC_1557,-8.00225584437968
DEC_1381,-7.93864144238996
DEC_1525,-7.93755956449077
DEC_1523,-7.92997378681569
DEC_1498,-7.90710881177868
DEC_1580,-7.8142528354587
DEC_1387,-7.76499704297234
DEC_1563,-7.57761716893244
DEC_1529,-7.53788784173724
DEC_1428,-7.51670056779485
DEC_1514,-7.48045358244432
DEC_1562,-7.46052013925781
DEC_1491,-7.44391892015426
DEC_1446,-7.44141250325075
DEC_1454,-7.42343847310582
DEC_1552,-7.37656694549041
DEC_1386,-7.36944529164323
DEC_1540,-7.320159488565
DEC_1431,-7.28331901022941
DEC_1436,-7.27366173073181
DEC_1417,-7.25968056143114
DEC_1528,-7.25405204623466
DEC_1398,-7.22992886157938
DEC_1443,-7.21750127836266
DEC_1414,-7.21710935333601
DEC_1388,-7.21226510904375
DEC_1572,-7.18274889660481
DEC_1558,-7.15899701069401
DEC_1534,-7.15852217423107
DEC_1544,-7.14709338408136
DEC_1546,-7.14265087970712
DEC_1401,-7.13863689330119
DEC_1382,-7.09795181357223
DEC_1533,-7.0597631708204
DEC_1395,-7.02017257751163
DEC_1555,-6.99857442083405
DEC_1448,-6.99046277236678
DEC_1399,-6.99023806444073
DEC_1384,-6.98659699616296
DEC_1547,-6.97405578344002
DEC_1535,-6.95267983372101
DEC_1504,-6.93116541087513
DEC_1513,-6.92505168787864
DEC_1556,-6.90616193742952
DEC_1548,-6.90453266067918
DEC_1500,-6.90013496946929
DEC_1432,-6.83459452705278
DEC_1506,-6.82187544496598
DEC_1415,-6.80947036536268
DEC_1503,-6.75547695278233
DEC_1569,-6.7483308688385
DEC_1467,-6.74666330182247
DEC_1549,-6.72924938800975
DEC_1463,-6.70121966797641
DEC_1488,-6.69067785815413
DEC_1439,-6.68884683799637
DEC_1571,-6.68038314355641
DEC_1559,-6.6763950478995
DEC_1515,-6.67267461714238
DEC_1397,-6.66542000720864
DEC_1578,-6.65103474915509
DEC_1526,-6.61388130793803
DEC_1538,-6.60222004699267
DEC_1396,-6.60171831427264
DEC_1539,-6.59583995278097
DEC_1492,-6.59087749565989
DEC_1405,-6.53693059239422
DEC_1579,-6.53180834860362
DEC_1438,-6.53030755376872
DEC_1420,-6.49928643356762
DEC_1409,-6.48088958275322
DEC_1429,-6.47402901250902
DEC_1392,-6.40492274997292
DEC_1416,-6.40150620313878
DEC_1408,-6.40039816881621
DEC_1430,-6.3789717438314
DEC_1489,-6.36797257810436
DEC_1410,-6.36221651390169
DEC_1570,-6.3579701209473
DEC_1391,-6.34191971166793
DEC_1394,-6.33337770169835
DEC_1550,-6.30008219954357
DEC_1406,-6.27849921482357
DEC_1390,-6.24910666676646
DEC_1541,-6.24672192220419
DEC_1553,-6.23771741318392
DEC_1424,-6.22957756174498
DEC_1487,-6.2265007556264
DEC_1490,-6.21991217748439
DEC_1462,-6.21567454715364
DEC_1404,-6.21332582809018
DEC_1435,-6.20656479525986
DEC_1413,-6.19813983347658
DEC_1519,-6.18476300350415
DEC_1458,-6.17116958765437
DEC_1516,-6.11872242724496
DEC_1407,-6.11785297920318
DEC_1527,-6.11188300478315
DEC_1511,-6.11079437864986
