,combind_scores
DEC_0548,6.207567181367647
DEC_0433,5.051049665390128
DEC_0409,7.56450370338192
DEC_0506,5.076829431769272
DEC_0428,4.816235175294086
DEC_0405,7.57758486668909
DEC_0468,5.124470747288601
DEC_0554,6.550306927629627
DEC_0562,4.352778348941923
DEC_0478,6.153806471537045
DEC_0426,6.544675546444507
DEC_0461,4.8724060176493404
DEC_0576,4.654042177362032
DEC_0572,5.227558387659171
DEC_0558,4.162384824729135
DEC_0422,4.331784607686604
DEC_0563,5.441282293847238
DEC_0431,4.298509024889851
DEC_0434,4.66548430915984
DEC_0410,4.4417737119903045
DEC_0416,6.709247177004779
DEC_0518,3.745266231319161
DEC_0436,3.925448339805732
DEC_0467,4.6787902791843425
DEC_0435,4.748443421318311
DEC_0427,5.541038051225665
DEC_0512,4.4002543924819655
DEC_0579,4.81303831606795
DEC_0420,4.6225737306992185
DEC_0499,2.612220010129706
DEC_0492,3.4927660256224926
DEC_0404,5.881360623853659
DEC_0553,4.849227934608444
DEC_0424,5.3649356229577805
DEC_0469,5.258625671808426
DEC_0389,5.527807483054325
DEC_0552,5.252384795981681
DEC_0421,4.8462189732053
DEC_0411,3.4989800979511765
DEC_0569,4.842244271126605
DEC_0398,4.2266031529852714
DEC_0571,4.719077184136729
DEC_0483,1.9169871175674613
DEC_0415,4.252662803929194
DEC_0437,3.6385668785901712
DEC_0491,3.198567863201213
DEC_0573,5.366459190620319
DEC_0443,5.150887165451139
DEC_0570,4.163232931172746
DEC_0534,6.153259384487842
DEC_0555,4.320033725491028
DEC_0564,3.3091824765760873
DEC_0383,5.18742807841081
DEC_0463,4.115355246035217
DEC_0396,3.412576424022788
DEC_0524,3.65313087826677
DEC_0502,4.540185144544237
DEC_0561,3.5885022010190952
DEC_0487,3.783178083011203
DEC_0414,4.611191191399146
DEC_0385,5.2345255692940675
DEC_0397,4.759570791295294
DEC_0386,4.741529693221957
DEC_0500,3.128807767478364
DEC_0575,4.240533852546053
DEC_0388,3.588869388325468
DEC_0504,5.086467601552861
DEC_0574,4.869080844487437
DEC_0567,3.521176148870832
DEC_0400,5.188364222886932
