,glide_scores
DEC_1947,-8.01597558254739
DEC_1937,-7.71832931544127
DEC_1871,-7.68952367325649
DEC_1941,-7.5902345983626
DEC_1785,-7.58112139587721
DEC_1942,-7.30293268286878
DEC_1820,-7.25660597710499
DEC_1965,-7.22193758871158
DEC_1940,-7.20976371583259
DEC_1903,-7.20200510270731
DEC_1952,-7.19701569049488
DEC_1800,-7.16716907084693
DEC_1897,-7.1072875305039
DEC_1898,-7.06900390455562
DEC_1828,-7.05133496148761
DEC_1817,-7.04426773166735
DEC_1796,-6.92018518101554
DEC_1905,-6.86099053923709
DEC_1913,-6.82410136129652
DEC_1919,-6.80697376715257
DEC_1804,-6.8058382872335
DEC_1917,-6.78752765333913
DEC_1784,-6.78520357594316
DEC_1856,-6.76195457620324
DEC_1968,-6.73713830252088
DEC_1967,-6.69294094740466
DEC_1914,-6.68744057473471
DEC_1815,-6.6441123075535
DEC_1792,-6.63937017436248
DEC_1829,-6.60692284034359
DEC_1973,-6.58853217531992
DEC_1915,-6.55975410220028
DEC_1931,-6.55486330949788
DEC_1946,-6.52589748229098
DEC_1868,-6.52461644739302
DEC_1880,-6.51775548010236
DEC_1870,-6.50959356181718
DEC_1875,-6.50556019726432
DEC_1876,-6.48152253901193
DEC_1889,-6.44550768038652
DEC_1885,-6.41074745480108
DEC_1907,-6.39929800089112
DEC_1791,-6.39730032588711
DEC_1934,-6.38103015310767
DEC_1924,-6.36350661706798
DEC_1849,-6.36189247136291
DEC_1892,-6.35850558078246
DEC_1873,-6.34967330093155
DEC_1851,-6.33450593207689
DEC_1793,-6.33438428308368
DEC_1910,-6.3314382721206
DEC_1781,-6.3143730282775
DEC_1926,-6.291602434906
DEC_1834,-6.29154088950249
DEC_1960,-6.27598811447385
DEC_1949,-6.27214834791794
DEC_1836,-6.26748396816224
DEC_1904,-6.25646521003432
DEC_1921,-6.25294886100187
DEC_1819,-6.2257936936071
DEC_1874,-6.21457290343726
DEC_1976,-6.20926317217625
DEC_1886,-6.18854061845322
DEC_1816,-6.1849752040558
DEC_1891,-6.18137379735982
DEC_1925,-6.17558740496793
DEC_1878,-6.17357191410129
DEC_1786,-6.17154166117239
DEC_1916,-6.17135467823754
DEC_1908,-6.15849075209163
DEC_1826,-6.14484654260256
DEC_1799,-6.13990991332866
DEC_1798,-6.12690320275741
DEC_1782,-6.12656253666911
DEC_1818,-6.09359748949669
DEC_1911,-6.09054397748531
DEC_1789,-6.08542522553018
DEC_1812,-6.08218338676526
DEC_1787,-6.06957698291014
DEC_1935,-6.06695454146789
DEC_1906,-6.04594627292558
DEC_1830,-6.04540955424639
DEC_1794,-6.03980725998649
DEC_1801,-6.02133548783325
DEC_1803,-6.0104113409887
DEC_1966,-6.00442534753544
DEC_1943,-5.97652314488774
DEC_1814,-5.97386974228325
DEC_1884,-5.97258253484229
DEC_1979,-5.96349182493281
DEC_1920,-5.96346763336388
DEC_1861,-5.96089052486373
DEC_1933,-5.93589814259622
DEC_1864,-5.93447680352253
DEC_1959,-5.93054909696636
DEC_1900,-5.92753055367267
DEC_1909,-5.92678474382308
DEC_1879,-5.92056658112301
DEC_1811,-5.90465990325672
DEC_1858,-5.89715127126185
DEC_1822,-5.88928808932807
DEC_1930,-5.88628066537596
DEC_1795,-5.8701047926462
DEC_1912,-5.86717218535424
DEC_1840,-5.85767301885016
DEC_1857,-5.85114463961375
DEC_1788,-5.84291304266279
DEC_1843,-5.83590101966295
DEC_1865,-5.83575302173513
DEC_1953,-5.82872059617113
DEC_1945,-5.82773025837525
DEC_1929,-5.82278335358012
DEC_1854,-5.80138052362044
DEC_1846,-5.80122041879204
DEC_1901,-5.79168156063414
DEC_1954,-5.77856462180616
DEC_1950,-5.76672081743627
DEC_1832,-5.76112866796557
DEC_1890,-5.75034562302122
DEC_1974,-5.74828672674622
DEC_1936,-5.74301319920849
DEC_1838,-5.73516556575284
DEC_1810,-5.72319159932946
DEC_1970,-5.69871478686072
DEC_1848,-5.69088289611966
DEC_1783,-5.68456590278164
DEC_1881,-5.67751006585462
DEC_1837,-5.67392230313468
DEC_1877,-5.6703489060271
DEC_1825,-5.66858939665819
DEC_1939,-5.66478802958439
DEC_1955,-5.65880623506635
DEC_1902,-5.63360613827406
DEC_1835,-5.62439983116661
DEC_1888,-5.62298388561999
DEC_1866,-5.61258232775714
DEC_1855,-5.61003966608711
DEC_1975,-5.60657231049566
DEC_1869,-5.58424714243292
DEC_1797,-5.57405803529109
DEC_1962,-5.56527016832791
DEC_1927,-5.55285917680847
DEC_1809,-5.53302850429337
DEC_1964,-5.52980513194781
DEC_1980,-5.52832120541297
DEC_1895,-5.5240838733633
DEC_1859,-5.50849663065572
DEC_1957,-5.49265546103644
DEC_1844,-5.48687630606559
DEC_1963,-5.48344497966695
DEC_1896,-5.4810848850736
DEC_1806,-5.46752238161421
DEC_1978,-5.46424340162786
DEC_1972,-5.45828047722466
DEC_1923,-5.43743281371365
DEC_1807,-5.43147249763906
DEC_1922,-5.42531309844107
DEC_1850,-5.41668328118389
DEC_1839,-5.41540060006139
DEC_1827,-5.40735406460123
DEC_1918,-5.40521835139323
DEC_1948,-5.40064373411669
DEC_1831,-5.38236241380963
DEC_1938,-5.3816880622161
DEC_1872,-5.34804104427612
DEC_1813,-5.33312669851087
DEC_1882,-5.32964125230837
DEC_1823,-5.30695374925898
DEC_1824,-5.30695374925898
DEC_1958,-5.30381927167317
DEC_1867,-5.30154324468627
DEC_1928,-5.27537304523787
DEC_1956,-5.24159051498817
DEC_1808,-5.19606805131481
DEC_1847,-5.19151853207008
DEC_1841,-5.15330034555716
DEC_1860,-5.13857574304399
DEC_1842,-5.12275298620624
DEC_1944,-5.10023709120148
DEC_1894,-5.08845578081665
DEC_1833,-5.03371591474203
DEC_1887,-5.02151554271685
DEC_1845,-5.00952091848963
DEC_1862,-5.00589516029531
DEC_1852,-4.92972386132536
DEC_1977,-4.89161037501964
DEC_1893,-4.89068940195935
DEC_1951,-4.89032140922068
DEC_1883,-4.87598717532129
DEC_1863,-4.8536855201272
DEC_1969,-4.84344413438572
DEC_1932,-4.78446726596109
DEC_1961,-4.70850052290526
DEC_1821,-4.67243007134493
DEC_1802,-4.65638747523181
DEC_1899,-4.56701659980771
DEC_1971,-4.29103225785767
DEC_1853,-4.13322413488502
DEC_1805,-3.90829579715402
