,combind_scores
DEC_1190,5.6960952956422854
DEC_1247,5.312549335398561
DEC_1357,5.154924410640026
DEC_1327,5.602261392007115
DEC_1326,4.960573920001211
DEC_1316,6.20935122231324
DEC_1301,4.190523591828306
DEC_1324,4.50533056251515
DEC_1344,6.3747599422515195
DEC_1276,5.131326675951229
DEC_1325,4.690104200015376
DEC_1365,5.216675552140558
DEC_1249,4.232088919063106
DEC_1237,4.691920313629749
DEC_1302,3.665945181289588
DEC_1200,4.431386383253532
DEC_1270,5.056482665124912
DEC_1320,2.2548497393172524
DEC_1350,5.297199564780567
DEC_1310,5.45956467323248
DEC_1266,4.94779395272398
DEC_1251,5.789256315536629
DEC_1271,5.122256315726775
DEC_1204,5.647489021678567
DEC_1367,4.651387723570424
DEC_1291,3.5605298862704267
DEC_1298,4.287975627879437
DEC_1226,5.880852549150475
DEC_1347,4.759529703312129
DEC_1315,3.911138018467229
DEC_1332,7.409729326349148
DEC_1265,5.496589276308263
DEC_1328,3.9690849988537127
DEC_1337,4.1915844076196285
DEC_1278,3.8999896199091646
DEC_1313,3.141972784478131
DEC_1194,5.4969146859814195
DEC_1312,5.618329334497642
DEC_1376,2.889606361081319
DEC_1346,4.663673834884066
DEC_1217,4.681483724120268
DEC_1336,6.630501272502139
DEC_1256,4.174219674123879
DEC_1297,4.631229433945201
DEC_1272,5.413100392899389
DEC_1246,4.571116385797546
DEC_1228,4.819670617035367
DEC_1371,4.9675984054533675
DEC_1377,2.695109164075355
DEC_1215,5.289772556503626
DEC_1231,4.155547678149809
DEC_1366,6.116941779124678
DEC_1330,5.048038047988408
DEC_1212,5.68810464970314
DEC_1196,3.8665893166048293
DEC_1230,3.9814019104699474
DEC_1375,3.9814019104699474
DEC_1235,3.4353939332814023
DEC_1193,2.4544250147698867
DEC_1229,3.5490540026881168
DEC_1374,3.874358788077969
DEC_1241,5.060326920183733
DEC_1318,4.1572038674903675
DEC_1199,4.707230502143474
DEC_1345,3.758778185916546
DEC_1334,5.762704483145877
DEC_1239,3.6446291554003656
DEC_1317,5.426517908680973
DEC_1254,5.342646673089215
DEC_1187,2.7279174230851932
DEC_1240,5.3855970096818355
DEC_1335,5.170206975846625
DEC_1331,5.268394844163518
DEC_1296,3.2829103913983326
DEC_1283,5.42987503415359
DEC_1304,2.1155177484320324
DEC_1201,4.388673944227992
DEC_1268,5.49944950338935
DEC_1185,3.628749150824926
DEC_1255,3.3649664501076924
DEC_1293,4.580704922711211
DEC_1277,2.941130958437712
DEC_1361,3.1751063210518633
DEC_1363,5.9319480584649975
DEC_1258,4.196656371937054
DEC_1181,4.206996073083515
DEC_1183,4.480058114768043
DEC_1269,5.480014140137978
DEC_1210,4.391379348470641
DEC_1274,3.7089490851185487
DEC_1189,4.872457131939204
DEC_1286,3.702719964587494
DEC_1333,4.048777850150705
DEC_1207,2.4250418294209886
DEC_1303,5.555200192747257
DEC_1373,3.6170579200521917
DEC_1275,3.755953835483569
DEC_1341,2.3333878419374097
DEC_1379,3.9814544420037197
DEC_1354,2.5043051432364214
DEC_1186,5.190952781033393
DEC_1219,3.6947489533959965
DEC_1372,3.6170812856294337
DEC_1342,3.76862030632967
DEC_1295,3.917994408063003
DEC_1287,2.4239819524943793
DEC_1305,5.1660210248694804
DEC_1279,3.8434193701006487
DEC_1233,5.264354249326464
DEC_1306,5.52704803046538
DEC_1262,5.420983525893972
DEC_1257,4.510682272906299
