,combind_scores
DEC_1614,3.146933376463858
DEC_1593,2.5469960542739294
DEC_1603,4.35560577926761
DEC_1649,5.945854502359937
DEC_1732,5.524470204065542
DEC_1744,4.359213599464763
DEC_1751,5.175550782013255
DEC_1619,4.031726928838109
DEC_1725,5.1565409701241105
DEC_1587,1.3439601667214482
DEC_1599,4.253284140131145
DEC_1684,4.751317925129298
DEC_1710,5.140351382572471
DEC_1630,4.194848225202801
DEC_1750,3.8644513998691936
DEC_1733,5.060081131743365
DEC_1605,5.032242279852332
DEC_1616,4.630689800125547
DEC_1724,3.597090046909697
DEC_1749,3.4972537123572893
DEC_1752,3.1830189835061757
DEC_1765,4.560081526494898
DEC_1592,3.7973102263756813
DEC_1764,3.908946483240574
DEC_1641,3.3380435531989114
DEC_1768,3.4369492547177565
DEC_1757,3.19694579299869
DEC_1738,4.148313080600415
DEC_1602,3.8651401147197166
DEC_1650,3.6485191428331563
DEC_1611,3.489819371241876
DEC_1680,2.5967063791383302
DEC_1681,3.4985085281693946
DEC_1745,4.390691735379563
DEC_1726,4.595772529392523
DEC_1767,4.831481566264296
DEC_1645,3.8118474755137655
DEC_1689,4.280830054517034
DEC_1770,4.249329027430105
DEC_1664,3.3980835135811445
DEC_1706,3.0909391677553124
DEC_1675,2.9410990820132286
DEC_1624,2.4386337983167508
DEC_1722,4.197648014441139
DEC_1610,1.42449522972424
DEC_1668,2.750881672009843
DEC_1687,4.633061645279786
DEC_1775,4.858389078016897
DEC_1646,3.1366165146565965
DEC_1774,3.708661251867501
DEC_1622,4.287421401543205
DEC_1760,4.605127619267523
DEC_1735,3.941318356260272
DEC_1728,3.2268357559283887
DEC_1719,2.0559311243314573
DEC_1734,4.498191331687529
DEC_1740,1.4308537999031046
DEC_1673,3.073549719443907
DEC_1660,2.7689991297099583
DEC_1584,4.387415093774879
DEC_1771,3.2373199962858266
DEC_1712,3.465489237172255
DEC_1632,3.128240056825445
DEC_1747,3.641370010070704
DEC_1640,3.862995956350921
DEC_1700,2.842299862705384
DEC_1698,2.827450594127278
DEC_1686,2.933579757598703
DEC_1677,1.8396543823281846
DEC_1585,3.6838796122441826
DEC_1730,1.8546115516572295
DEC_1652,1.5606847914273878
DEC_1777,4.5164345181664665
DEC_1773,4.344632685920082
DEC_1697,2.596230704455026
DEC_1748,3.1842802818015272
DEC_1769,1.8307339288699298
DEC_1655,3.787720923701118
DEC_1754,3.645967667273022
DEC_1665,3.565318043519518
DEC_1638,2.255962764312999
DEC_1620,4.45788940858901
DEC_1654,2.900464355087143
DEC_1678,2.6171217738635013
DEC_1772,4.811068859860786
DEC_1762,3.493854917425211
DEC_1755,3.2105173472705157
DEC_1705,1.5424286726773486
DEC_1701,3.355271501449362
DEC_1656,2.891392447750551
DEC_1636,2.817096738628014
DEC_1766,3.119397658817573
DEC_1727,3.746118544389277
DEC_1707,2.843253637585226
DEC_1780,3.0107944515030276
DEC_1739,3.4255860959663833
DEC_1778,3.1353933640537077
DEC_1651,2.563435072757999
DEC_1671,3.304598246477469
DEC_1626,2.817578512735529
DEC_1743,2.868503960700803
DEC_1672,2.4897106717035475
DEC_1659,3.356218313073039
DEC_1721,3.3179655003567277
DEC_1753,2.8477284707668318
DEC_1661,3.4000827633133
DEC_1647,2.390470247955296
DEC_1631,3.407556254552474
DEC_1597,2.567781083988679
DEC_1635,3.9394718854892656
DEC_1586,2.820298616047253
DEC_1595,2.820298616047253
DEC_1612,2.4468689238010723
DEC_1694,2.7317045926735934
DEC_1639,2.669366822010341
DEC_1590,2.6980688893044174
DEC_1666,2.410142031374228
DEC_1763,2.5528572117990898
DEC_1663,2.214355585227751
DEC_1658,2.988231856686296
DEC_1741,3.5827601926140002
DEC_1682,0.36682686883276716
DEC_1642,3.0509416173986335
DEC_1629,3.2717605948079007
DEC_1758,3.3761250598705064
DEC_1779,3.352288984439715
DEC_1648,2.678591740611232
DEC_1709,2.355195528210972
DEC_1657,2.4554978288330043
DEC_1708,3.4523411444628764
DEC_1604,1.5716170048849927
DEC_1613,3.805092116310056
DEC_1776,2.2868083647573476
DEC_1695,1.4689106602209208
DEC_1607,0.7461976936221042
DEC_1761,2.070085678918197
DEC_1703,3.910420554126417
DEC_1667,2.7126864640251735
DEC_1736,2.6585561424380186
DEC_1598,2.0513982564386097
DEC_1588,3.473390822137267
DEC_1729,0.27522145122066455
DEC_1746,2.1095575068039443
DEC_1618,2.2882682522608127
DEC_1742,3.175674048363032
DEC_1688,2.047725624319372
DEC_1623,3.410429540997716
DEC_1704,1.3652912779471391
DEC_1581,3.15582640805446
DEC_1693,1.7069239703203092
DEC_1669,2.506651865591393
DEC_1634,3.77231301312393
DEC_1759,-0.49672975900782834
DEC_1713,-0.28417874789875874
DEC_1756,4.446416063173259
DEC_1723,0.8454377330797347
DEC_1696,2.278261364748505
DEC_1596,1.9372013379152366
DEC_1591,1.9019826735557892
DEC_1718,1.3711848247010074
DEC_1644,1.5967479480409823
DEC_1627,1.4230409298380589
DEC_1731,0.35625622342357577
DEC_1683,3.1891534892340854
DEC_1594,2.7617181724269955
DEC_1702,1.053501846100593
DEC_1691,1.5037728428647417
DEC_1589,2.350341531704778
DEC_1662,3.211939310507624
DEC_1633,3.123571178826095
DEC_1609,1.6922133779018127
DEC_1715,1.9615635237138802
DEC_1637,2.074805760435617
DEC_1699,-0.49220636616670976
DEC_1720,1.004168317223539
DEC_1615,0.8147096449689846
DEC_1690,2.1488889343290087
DEC_1714,2.183535774342536
DEC_1674,1.3029800369038491
DEC_1628,2.31794264157518
DEC_1717,1.437686483954069
DEC_1582,2.325930485491205
DEC_1692,1.1795830666908786
DEC_1737,1.0503316377809666
DEC_1643,1.06040393845152
DEC_1625,1.163111597579686
DEC_1685,2.8656189303336466
DEC_1653,2.298472972293234
DEC_1601,1.8055705288178099
DEC_1621,1.012106779781278
DEC_1716,2.174342108360716
DEC_1670,1.9010800076629488
DEC_1606,-1.9717430127242617
DEC_1608,1.811675438031517
DEC_1583,0.28988356967253637
DEC_1617,0.1726053786140005
DEC_1600,0.19812341057383875
DEC_1676,-1.6076318139079069
