,glide_scores
DEC_1614,-10.3530290297561
DEC_1593,-10.3390614387937
DEC_1603,-10.0736730125397
DEC_1649,-9.91882018836639
DEC_1732,-9.89235384620605
DEC_1744,-9.68237123756983
DEC_1751,-9.59323798344765
DEC_1619,-9.57649403216881
DEC_1725,-9.52885452167246
DEC_1587,-9.49270238397597
DEC_1599,-9.42398112513641
DEC_1684,-9.41629947443629
DEC_1710,-9.33790093962864
DEC_1630,-9.26115810289456
DEC_1750,-9.24359420928484
DEC_1733,-9.23206614286137
DEC_1605,-9.19546744407571
DEC_1616,-9.08163091679659
DEC_1724,-8.95694263448548
DEC_1749,-8.88780793185117
DEC_1752,-8.86477686362828
DEC_1765,-8.85927297370929
DEC_1592,-8.84909312405892
DEC_1764,-8.80248561898423
DEC_1641,-8.78421858257725
DEC_1768,-8.77483766884589
DEC_1757,-8.76305106637039
DEC_1738,-8.7120243088841
DEC_1602,-8.67794778069203
DEC_1650,-8.66708176245407
DEC_1611,-8.65236620592874
DEC_1680,-8.627200471729
DEC_1681,-8.62543562267344
DEC_1745,-8.6196398255996
DEC_1726,-8.61045926877225
DEC_1767,-8.55818045925483
DEC_1645,-8.55813364429697
DEC_1689,-8.52193700617279
DEC_1770,-8.4876294401801
DEC_1664,-8.43315205222009
DEC_1706,-8.39795180702207
DEC_1675,-8.37980103759517
DEC_1624,-8.37454408792332
DEC_1722,-8.3645976678282
DEC_1610,-8.3620342944685
DEC_1668,-8.36051316678135
DEC_1687,-8.34863020114607
DEC_1775,-8.29859109430937
DEC_1646,-8.20858289102997
DEC_1774,-8.13500474476998
DEC_1622,-8.13106166488806
DEC_1760,-8.13033751200945
DEC_1735,-8.10830669792852
DEC_1728,-8.09738155740657
DEC_1719,-8.06946255656569
DEC_1734,-8.05875329063829
DEC_1740,-8.0508186181984
DEC_1673,-8.04699531940862
DEC_1660,-8.03810371756329
DEC_1584,-8.01498252686589
DEC_1771,-7.99705728127337
DEC_1712,-7.99092357221032
DEC_1632,-7.99030487102189
DEC_1747,-7.98864328386831
DEC_1640,-7.98286858911905
DEC_1700,-7.97736770142392
DEC_1698,-7.95878811417031
DEC_1686,-7.93375538660061
DEC_1677,-7.93259232321111
DEC_1585,-7.93067883097194
DEC_1730,-7.90716599877823
DEC_1652,-7.90317517514035
DEC_1777,-7.90166255210159
DEC_1773,-7.89633312687973
DEC_1697,-7.89534540887367
DEC_1748,-7.89265469680086
DEC_1769,-7.88814983939201
DEC_1655,-7.88422387291854
DEC_1754,-7.84944462090969
DEC_1665,-7.84061055198934
DEC_1638,-7.83889658922232
DEC_1620,-7.82380168558904
DEC_1654,-7.79825343818596
DEC_1678,-7.77767747321268
DEC_1772,-7.76621603414137
DEC_1762,-7.75811174547821
DEC_1755,-7.74421155861026
DEC_1705,-7.71819593775474
DEC_1701,-7.66953687723475
DEC_1656,-7.66586345998372
DEC_1636,-7.66393664849152
DEC_1766,-7.6572621975645
DEC_1727,-7.65010707020454
DEC_1707,-7.64722388321298
DEC_1780,-7.62392784511028
DEC_1739,-7.60334300067807
DEC_1778,-7.58891297724103
DEC_1651,-7.55461501777
DEC_1671,-7.55107075138869
DEC_1626,-7.55083687769721
DEC_1743,-7.53067444009838
DEC_1672,-7.5245109242573
DEC_1659,-7.51282126507575
DEC_1721,-7.51238435343591
DEC_1753,-7.48699587748744
DEC_1661,-7.48027017821521
DEC_1647,-7.47741727021539
DEC_1631,-7.47234224741445
DEC_1597,-7.44415617574156
DEC_1635,-7.43486276342648
DEC_1586,-7.42833389827077
DEC_1595,-7.42833389827077
DEC_1612,-7.41095428246646
DEC_1694,-7.40505876188586
DEC_1639,-7.3975649930883
DEC_1590,-7.35728345387568
DEC_1666,-7.35335201045325
DEC_1763,-7.33195306019259
DEC_1663,-7.29025644611045
DEC_1658,-7.27608348115157
DEC_1741,-7.27202881421924
DEC_1682,-7.26743939253278
DEC_1642,-7.25916627860129
DEC_1629,-7.24906511765137
DEC_1758,-7.22246888569806
DEC_1779,-7.19506627337311
DEC_1648,-7.18712462865893
DEC_1709,-7.17870933845487
DEC_1657,-7.17172635937524
DEC_1708,-7.16230481656741
DEC_1604,-7.15824033839912
DEC_1613,-7.15164117749446
DEC_1776,-7.14900104148286
DEC_1695,-7.12994737800835
DEC_1607,-7.10126249427838
DEC_1761,-7.08862465926812
DEC_1703,-7.083951903112
DEC_1667,-7.07773972259858
DEC_1736,-7.05343516823343
DEC_1598,-7.00969673578826
DEC_1588,-6.9909909882884
DEC_1729,-6.9887646915396
DEC_1746,-6.98704443511605
DEC_1618,-6.98022421194657
DEC_1742,-6.97341171679063
DEC_1688,-6.95723770354171
DEC_1623,-6.94992313995292
DEC_1704,-6.94236430869237
DEC_1581,-6.93590576663966
DEC_1693,-6.9211625642281
DEC_1669,-6.90673051754925
DEC_1634,-6.87778088635306
DEC_1759,-6.85739087225942
DEC_1713,-6.84972890550375
DEC_1756,-6.8135245068277
DEC_1723,-6.77709838888089
DEC_1696,-6.76158295844668
DEC_1596,-6.7201726933729
DEC_1591,-6.7120979559686
DEC_1718,-6.7118390932318
DEC_1644,-6.70027547609541
DEC_1627,-6.69935898534785
DEC_1731,-6.69516285511178
DEC_1683,-6.69029257529996
DEC_1594,-6.67979246716459
DEC_1702,-6.65602423440393
DEC_1691,-6.63608167102391
DEC_1589,-6.63563828580455
DEC_1662,-6.62181705241878
DEC_1633,-6.61021224576658
DEC_1609,-6.57945228000881
DEC_1715,-6.57699506001542
DEC_1637,-6.51978669778262
DEC_1699,-6.44080722249112
DEC_1720,-6.37509112520417
DEC_1615,-6.28986930852793
DEC_1690,-6.28514586137906
DEC_1714,-6.24631402225654
DEC_1674,-6.23336001603344
DEC_1628,-6.20569953275921
DEC_1717,-6.19400136596893
DEC_1582,-6.14808975951124
DEC_1692,-6.14267554581829
DEC_1737,-6.13586691313773
DEC_1643,-6.11943977277072
DEC_1625,-6.06105968205243
DEC_1685,-6.03650150875061
DEC_1653,-5.99467159752754
DEC_1601,-5.99255633403386
DEC_1621,-5.83745965312992
DEC_1716,-5.76758877172627
DEC_1670,-5.7518822509005
DEC_1606,-5.68399745635254
DEC_1608,-5.64519380337189
DEC_1583,-5.43580543704564
DEC_1617,-5.00710891498354
DEC_1600,-4.86759116611456
DEC_1676,-3.52440177161506
