,combind_scores
DEC_1378,4.576266240869701
DEC_1213,5.765312873926744
DEC_1249,3.2543845747432325
DEC_1374,4.234910680135776
DEC_1370,4.565426043492997
DEC_1351,4.7870880927415405
DEC_1353,3.35868287430021
DEC_1216,4.683466315867535
DEC_1259,4.061417074961765
DEC_1260,3.7553667620506745
DEC_1355,3.2156734384028614
DEC_1360,3.342294265647485
DEC_1204,5.835075914600383
DEC_1322,1.8183201830651186
DEC_1194,3.989273596901853
DEC_1247,-0.2855479199930411
DEC_1309,5.5525694294760815
DEC_1195,3.4145351098588197
DEC_1263,4.673372672491868
DEC_1245,4.456775934778786
DEC_1231,1.7127928273129358
DEC_1210,4.490604295426426
DEC_1369,2.038798440762376
DEC_1261,4.448904789164542
DEC_1207,2.993279706508173
DEC_1329,3.572288246473234
DEC_1359,3.7767702232952605
DEC_1238,3.2838667080779516
DEC_1362,3.5018611886286433
DEC_1251,2.9044826660327825
DEC_1365,2.9256302048535288
DEC_1354,2.2204510060640894
DEC_1257,2.620935605256534
DEC_1340,3.4685151346896497
DEC_1304,2.8922004252533906
DEC_1338,4.272492345741238
DEC_1214,2.1933336295310806
DEC_1293,3.9705722660143756
DEC_1326,3.522197424146313
DEC_1209,4.4096974794445805
DEC_1205,3.07516362051134
DEC_1267,1.0661653261562112
DEC_1248,4.200708130115798
DEC_1348,4.133744894682505
DEC_1206,3.3213068212424073
DEC_1215,3.68633649721976
DEC_1363,4.085196565644337
DEC_1185,3.1941915997035872
DEC_1218,2.8187069537603158
DEC_1285,3.0622296635363853
DEC_1230,4.650898307095517
DEC_1372,2.7689013550099624
DEC_1229,4.0796659478563555
DEC_1298,1.941769025944538
DEC_1201,4.752533300700069
DEC_1312,2.3067580246555606
DEC_1356,3.8078847058909764
DEC_1294,4.705139387340532
DEC_1233,3.935692726518589
DEC_1232,2.995157991942863
DEC_1364,4.244960947483078
DEC_1325,3.558884885735048
DEC_1250,2.9745456742859018
DEC_1287,3.6498904164529993
DEC_1269,3.281002628488279
DEC_1300,2.988447277006597
DEC_1377,3.5432705021874877
DEC_1197,2.913819786845301
DEC_1191,4.021713992583055
DEC_1211,3.951529786695975
DEC_1182,2.947601079735505
DEC_1241,4.317917935852536
DEC_1358,2.811063593975302
DEC_1212,2.8437033510402525
DEC_1271,3.0105767407975925
DEC_1208,3.5722365917686068
DEC_1303,2.9918599607824525
DEC_1350,3.179275131748293
DEC_1320,3.3859958375765222
DEC_1240,2.5285956401435006
DEC_1276,3.8468753435041805
DEC_1375,1.9058315478800694
DEC_1367,3.383318732189335
DEC_1243,4.194369021813735
DEC_1196,2.9155539294532034
DEC_1301,3.4863520767459932
DEC_1376,3.959762945760837
DEC_1221,2.6554698684751434
DEC_1344,2.846847440742552
DEC_1380,3.206013310475683
DEC_1236,1.0948550663189849
DEC_1184,4.4038695154363765
DEC_1368,2.831786560253599
DEC_1187,2.9806132399130325
DEC_1246,2.200582252918477
DEC_1361,3.393283357340505
DEC_1321,2.2064959165962943
DEC_1371,2.7524532731579487
DEC_1283,2.5466948878151516
DEC_1219,2.81937041662123
DEC_1222,2.324941060293413
DEC_1343,2.9295492060732076
DEC_1254,2.837831044310513
DEC_1264,3.25480042892434
DEC_1352,2.649684247479115
DEC_1286,4.76803670064569
DEC_1299,2.6779852948155876
DEC_1315,2.964965661603568
DEC_1262,2.9805813970774153
DEC_1242,2.7976032840423075
DEC_1284,1.6889832537285505
DEC_1347,3.3377489494115595
DEC_1235,3.5583041504878166
DEC_1366,3.559776007422037
DEC_1379,2.7386298253289856
DEC_1319,0.5046174607781229
DEC_1327,2.2205390658410673
DEC_1330,2.9479854018009757
DEC_1324,2.4771696360501236
DEC_1308,2.8405602050025935
DEC_1281,1.1442301492223441
DEC_1237,2.7322734164063682
DEC_1345,3.565019339977792
DEC_1323,2.8085388816327272
DEC_1186,1.8832865945143706
DEC_1331,3.055015822575327
DEC_1275,3.4665348370417717
