,glide_scores
DEC_1378,-11.9389910947991
DEC_1213,-10.9140374109316
DEC_1249,-10.3808456886407
DEC_1374,-10.293095021042
DEC_1370,-10.0806833962559
DEC_1351,-10.001816793827
DEC_1353,-9.91226063522284
DEC_1216,-9.77149272747527
DEC_1259,-9.76874587163797
DEC_1260,-9.66078705423846
DEC_1355,-9.42837752522625
DEC_1360,-9.3950770911948
DEC_1204,-9.39398689064099
DEC_1322,-9.21902938990624
DEC_1194,-9.16171261770494
DEC_1247,-9.15368846847135
DEC_1309,-9.08188035331385
DEC_1195,-9.03194757476479
DEC_1263,-9.02831736996736
DEC_1245,-8.97025320958841
DEC_1231,-8.884925344945
DEC_1210,-8.84899966412025
DEC_1369,-8.82131064192955
DEC_1261,-8.78807886002427
DEC_1207,-8.78056545210833
DEC_1329,-8.72869686756493
DEC_1359,-8.71735883663809
DEC_1238,-8.70214096396738
DEC_1362,-8.66309559197464
DEC_1251,-8.64274412123847
DEC_1365,-8.59858315704991
DEC_1354,-8.54406803645671
DEC_1257,-8.54215746853132
DEC_1340,-8.53675069399184
DEC_1304,-8.52878288131705
DEC_1338,-8.4992859471126
DEC_1214,-8.49813688369598
DEC_1293,-8.49464146737073
DEC_1326,-8.49311501413155
DEC_1209,-8.46267187221423
DEC_1205,-8.45108320987828
DEC_1267,-8.44765977463787
DEC_1248,-8.43035010962983
DEC_1348,-8.41663521975644
DEC_1206,-8.36796598736821
DEC_1215,-8.34199218675876
DEC_1363,-8.33482685153276
DEC_1185,-8.32967531136381
DEC_1218,-8.30027358562099
DEC_1285,-8.28461345160349
DEC_1230,-8.27284494669783
DEC_1372,-8.25530994943623
DEC_1229,-8.24180266311181
DEC_1298,-8.22535674495845
DEC_1201,-8.21805403908996
DEC_1312,-8.20988072407801
DEC_1356,-8.20011924251365
DEC_1294,-8.19640910003591
DEC_1233,-8.19128273882763
DEC_1232,-8.18552735507073
DEC_1364,-8.17491207090427
DEC_1325,-8.16069019775255
DEC_1250,-8.14675136018374
DEC_1287,-8.13049829397618
DEC_1269,-8.11267691709247
DEC_1300,-8.10116675272014
DEC_1377,-8.09785907924402
DEC_1197,-8.08785712863201
DEC_1191,-8.08444560210541
DEC_1211,-8.0800166635662
DEC_1182,-8.05321226640593
DEC_1241,-8.02883211721716
DEC_1358,-8.01938813917311
DEC_1212,-8.01471605064419
DEC_1271,-7.95390150088155
DEC_1208,-7.93483560571282
