,glide_scores
DEC_2455,-9.95017186247901
DEC_2456,-9.33139490187536
DEC_2489,-8.47999969789812
DEC_2454,-8.34614902870904
DEC_2580,-8.27381534359025
DEC_2531,-7.99543903225331
DEC_2559,-7.9675789594376
DEC_2487,-7.89436971188556
DEC_2493,-7.83568562851911
DEC_2526,-7.81908318799708
DEC_2551,-7.78488816413912
DEC_2542,-7.70872739795531
DEC_2510,-7.48167679049959
DEC_2418,-7.43675490074981
DEC_2550,-7.42757599363145
DEC_2398,-7.41011054328095
DEC_2520,-7.38152428134731
DEC_2582,-7.35982915286454
DEC_2471,-7.3585706680767
DEC_2566,-7.29647912113446
DEC_2539,-7.2767474965003
DEC_2522,-7.12309694940966
DEC_2444,-7.10652702592148
DEC_2439,-7.0692692522108
DEC_2537,-7.04146928930856
DEC_2586,-7.00859329851868
DEC_2541,-6.94288328923253
DEC_2390,-6.92841837450504
DEC_2459,-6.9183050209955
DEC_2506,-6.90577065980613
DEC_2469,-6.8589966083393
DEC_2458,-6.79579822168986
DEC_2507,-6.7816508560391
DEC_2425,-6.7345658416525
DEC_2399,-6.73145353519426
DEC_2500,-6.73059301722163
DEC_2457,-6.69693287719877
DEC_2499,-6.67971487072272
DEC_2528,-6.67911610656482
DEC_2521,-6.67741888586115
DEC_2554,-6.66001201452909
DEC_2397,-6.64157461890097
DEC_2430,-6.63623808497249
DEC_2523,-6.5869043117815
DEC_2555,-6.54569863391079
DEC_2549,-6.52822983848263
DEC_2392,-6.50858979091446
DEC_2389,-6.48004100495371
DEC_2495,-6.47890175025096
DEC_2498,-6.44340383048915
DEC_2558,-6.42273470929441
DEC_2517,-6.41014736810867
DEC_2488,-6.39852062730493
DEC_2532,-6.38088500569198
DEC_2501,-6.37163583200009
DEC_2424,-6.37104912780734
DEC_2396,-6.36261000190733
DEC_2450,-6.3403114253614
DEC_2570,-6.32682905432043
DEC_2534,-6.31182753171777
DEC_2434,-6.30971686473021
DEC_2535,-6.29902502095818
DEC_2546,-6.28747326671439
DEC_2567,-6.28218633348015
DEC_2452,-6.22842147307783
DEC_2583,-6.22364245425364
DEC_2556,-6.21555817659885
DEC_2584,-6.21378785557717
DEC_2417,-6.20950154748236
DEC_2524,-6.19982196999718
DEC_2497,-6.18925194059981
DEC_2479,-6.17257858408176
DEC_2536,-6.11447883037528
DEC_2428,-6.01890226284148
DEC_2429,-5.95125146667748
DEC_2560,-5.90464338242865
DEC_2403,-5.90377292101047
DEC_2508,-5.88303185109902
DEC_2481,-5.87775446259568
DEC_2569,-5.83009158040801
DEC_2453,-5.78954687576121
DEC_2530,-5.77758944460441
DEC_2387,-5.77221748094309
DEC_2395,-5.76172604916592
DEC_2574,-5.75997388670018
DEC_2442,-5.75694027823568
DEC_2438,-5.75199409586904
DEC_2427,-5.7194326009485
DEC_2422,-5.71890549611774
DEC_2405,-5.7030265868052
DEC_2451,-5.67468128029085
DEC_2568,-5.65856952613228
DEC_2494,-5.61665752260782
DEC_2486,-5.61271058114636
DEC_2511,-5.60927635140197
DEC_2573,-5.58701932782664
DEC_2563,-5.58018010410042
DEC_2401,-5.56583061401211
DEC_2525,-5.56370145689815
DEC_2423,-5.56340806233184
DEC_2547,-5.55510289748478
DEC_2484,-5.5435321538905
DEC_2533,-5.49016110268474
DEC_2544,-5.4892216992754
DEC_2466,-5.47440309019389
