,glide_scores
DEC_1012,-9.2270646160722
DEC_1032,-9.04729854442413
DEC_1102,-8.95784624031061
DEC_1067,-8.83511432191181
DEC_1049,-8.81796605633006
DEC_1073,-8.75515044713059
DEC_1086,-8.66725729169465
DEC_1079,-8.58816202644587
DEC_1030,-8.50187780855783
DEC_1034,-8.43396653383175
DEC_1009,-8.25659859288111
DEC_1054,-8.19565888885648
DEC_1052,-8.17018732522414
DEC_1170,-8.1678387263263
DEC_1115,-8.09408642471345
DEC_1126,-8.07553391703581
DEC_1134,-8.05929336704456
DEC_1148,-8.05469793587819
DEC_1043,-8.04431322952598
DEC_0995,-8.04044746121926
DEC_1048,-8.01487002409246
DEC_1103,-8.01072276188766
DEC_1072,-7.98977961043075
DEC_0996,-7.98712124189897
DEC_1008,-7.97392020503104
DEC_1040,-7.96568559989352
DEC_1089,-7.93251077241911
DEC_1166,-7.92389545124127
DEC_1076,-7.90873197733368
DEC_1140,-7.8971606707538
DEC_1179,-7.802182724193
DEC_1105,-7.8000176789807
DEC_0986,-7.79832953283571
DEC_1113,-7.79583903412937
DEC_1139,-7.77068653548147
DEC_1121,-7.76997234754634
DEC_1014,-7.76005682066755
DEC_1056,-7.71807387018705
DEC_1085,-7.71690557834417
DEC_1159,-7.70511867911652
DEC_1174,-7.69040874447485
DEC_1094,-7.68461818795397
DEC_1087,-7.6837936671904
DEC_1162,-7.67152962500841
DEC_1007,-7.6603894341058
DEC_1107,-7.64929762277373
DEC_1149,-7.59662549945832
DEC_1031,-7.5890464784304
DEC_1062,-7.58889407847909
DEC_1158,-7.58316741140145
DEC_1074,-7.5699425598027
DEC_1144,-7.51034134275589
DEC_1060,-7.49071203429613
DEC_1154,-7.48933578693267
DEC_1082,-7.48551863821964
DEC_1116,-7.48404459617409
DEC_1141,-7.47324843860011
DEC_1142,-7.45910910895294
DEC_1033,-7.4585792020918
DEC_1101,-7.45317745796704
DEC_1084,-7.45219243220896
DEC_1135,-7.44957451151549
DEC_1010,-7.44863283203079
DEC_1095,-7.44742562861019
DEC_1112,-7.4285926852668
DEC_1069,-7.40297824326975
DEC_1021,-7.34993766084912
DEC_1035,-7.32441496824805
DEC_1083,-7.3154324137957
DEC_1136,-7.22186509697199
DEC_1145,-7.21810662927852
DEC_1019,-7.21526508913597
DEC_1050,-7.21358407153217
DEC_1172,-7.20199522668397
DEC_1114,-7.19959233036074
DEC_1175,-7.17838065750336
DEC_1044,-7.17809099074127
DEC_1167,-7.16854195094058
DEC_0993,-7.14619414664595
DEC_1075,-7.13530388465501
DEC_1025,-7.12341774728083
DEC_1150,-7.12227133749875
DEC_1016,-7.11539082200863
DEC_1036,-7.09647698429302
DEC_1051,-7.0872159006133
DEC_1137,-7.0855067798629
DEC_1143,-7.05204954006266
DEC_1173,-7.04444678469447
DEC_1096,-7.03623153359458
DEC_1171,-7.0290427333301
DEC_1169,-7.02857378108112
DEC_1063,-7.0144928183989
DEC_1047,-7.00225960382291
DEC_1152,-6.9966546933059
DEC_1106,-6.98426716720874
DEC_1078,-6.97471189299388
DEC_1153,-6.93693216644571
DEC_1011,-6.89475973672265
DEC_0987,-6.88227669989862
DEC_1160,-6.8816992700408
DEC_1130,-6.871841868918
DEC_0983,-6.86252437794327
DEC_1081,-6.84289378875073
DEC_1059,-6.80550455108862
DEC_1042,-6.78753550102434
DEC_1046,-6.78501544944918
DEC_1180,-6.75680457375623
DEC_1015,-6.73721502731731
DEC_0994,-6.72358894812576
DEC_1024,-6.70962498628659
DEC_1125,-6.70136209384296
DEC_1041,-6.69765438361287
DEC_1177,-6.65675405385115
DEC_1097,-6.61899032435824
DEC_1123,-6.61197429289593
DEC_1164,-6.60542990407784
DEC_1104,-6.59316725530082
DEC_0988,-6.59021573029173
DEC_1109,-6.56957439853203
DEC_1013,-6.56085690760616
DEC_1163,-6.54624743871653
DEC_1061,-6.54457848777165
DEC_1004,-6.52998231667177
DEC_1026,-6.50794913119983
DEC_1091,-6.43917222469611
DEC_1165,-6.43231871725154
DEC_1118,-6.42163389272946
DEC_0997,-6.42026307265046
DEC_0985,-6.40035506153401
DEC_1131,-6.3918150179895
DEC_1119,-6.37493936790028
DEC_1157,-6.33297788374782
DEC_1001,-6.33125227626984
DEC_1151,-6.31312544548879
DEC_1005,-6.28123102437436
DEC_1111,-6.22803143638601
DEC_1110,-6.21756159370849
DEC_0992,-6.19989160246362
DEC_1057,-6.1976420795433
DEC_1088,-6.19518146367785
DEC_1029,-6.1915530815509
DEC_1002,-6.18515528104061
DEC_1039,-6.18388705580081
DEC_1053,-6.17843306777737
DEC_1028,-6.16921749032998
DEC_1138,-6.16730999593558
DEC_1098,-6.16228392279467
DEC_1037,-6.11365519244871
DEC_1122,-6.08899767883689
DEC_1127,-6.08244344951596
DEC_1146,-6.0816514269523
DEC_0989,-6.04741720930696
DEC_1133,-6.03083272598947
DEC_1124,-6.02690041275714
DEC_1000,-6.02157764940515
DEC_1027,-5.9943856414629
DEC_1055,-5.99203989034754
DEC_1003,-5.95324239951018
DEC_1132,-5.94043247927582
