,combind_scores
DEC_1204,6.6083003753762055
DEC_1324,7.64284369299004
DEC_1351,7.626606444866029
DEC_1321,7.129055333464416
DEC_1186,6.339049730823832
DEC_1199,6.210532983122838
DEC_1334,7.130930701168487
DEC_1353,7.51016479234456
DEC_1362,7.229587662581681
DEC_1193,7.19073095274981
DEC_1376,7.155662488473938
DEC_1266,7.630522887975401
DEC_1273,7.617481693173564
DEC_1223,5.907848061903346
DEC_1244,6.463580149901452
DEC_1189,6.007740227180667
DEC_1206,5.535113078395363
DEC_1365,6.620658447187224
DEC_1295,6.168150631397165
DEC_1255,7.171206657868712
DEC_1348,5.943291703773303
DEC_1240,5.6760491117719045
DEC_1304,6.242232947419925
DEC_1326,6.60985499997157
DEC_1367,6.785214055967989
DEC_1338,7.144070087006314
DEC_1350,7.203737507696189
DEC_1259,7.306942956001155
DEC_1256,7.3209813571411475
DEC_1235,6.926414728065844
DEC_1192,5.4997649692523565
DEC_1226,5.9595442400935585
DEC_1379,6.979668927909548
DEC_1372,7.232132625546331
DEC_1210,6.813097913790476
DEC_1196,5.738429545471842
DEC_1267,7.073141655955125
DEC_1299,6.8062085560570775
DEC_1224,5.917273956258355
DEC_1181,6.533191317349401
DEC_1208,5.885268325279449
DEC_1205,6.06062479689964
DEC_1347,6.2197596505271155
DEC_1345,6.56519413658409
DEC_1308,6.465881511520526
DEC_1265,6.906474174877431
DEC_1250,4.477125033243799
DEC_1257,6.76099846279966
DEC_1332,6.403314240131954
DEC_1370,5.909217424773608
DEC_1369,6.831965385925251
DEC_1201,5.4139537899392165
DEC_1336,6.054682145721525
DEC_1195,6.42839254196339
DEC_1279,7.077049807555633
DEC_1275,6.98763513879141
DEC_1286,5.518465999989057
DEC_1296,7.139505121547106
DEC_1277,6.650081177099359
DEC_1263,6.806663340901702
DEC_1211,5.2568238405495284
DEC_1378,6.4891171452895176
DEC_1221,4.844623557069947
DEC_1340,6.202048571463538
DEC_1254,6.457215244850792
DEC_1317,5.48181223181456
DEC_1233,5.923152095920111
DEC_1287,6.8881790028272984
DEC_1291,6.03789760385396
DEC_1377,5.236433628533347
DEC_1352,5.285372588000888
DEC_1248,5.109989329651853
DEC_1360,5.039014890998853
DEC_1264,6.812975891681289
DEC_1216,4.859890026530081
DEC_1274,6.383797252616642
DEC_1363,5.808876279694656
DEC_1252,6.786044148004034
DEC_1245,5.31615916879225
DEC_1225,4.618016781401603
DEC_1276,6.180612506427031
DEC_1262,5.634522602234504
DEC_1339,5.339745876204115
DEC_1237,5.129305943507625
DEC_1218,4.857900296392988
DEC_1356,5.402337445505208
DEC_1241,4.988043085411434
DEC_1214,4.24841170195651
DEC_1285,6.2268303330182935
DEC_1355,6.399096192008434
DEC_1238,4.7616760616236515
DEC_1346,6.729765598342346
DEC_1197,5.937136888859459
DEC_1371,5.957857119864676
DEC_1357,5.112629511802775
DEC_1246,4.897697549147417
DEC_1309,3.5098527931545744
DEC_1247,5.824152434398496
DEC_1213,4.729707290535568
DEC_1232,4.44150320658009
DEC_1375,4.941168944540461
DEC_1364,4.47411724736874
DEC_1292,6.4434230851965575
DEC_1239,4.690172433643848
DEC_1307,5.12008609157159
DEC_1294,6.045123720387432
DEC_1271,4.933810615196691
DEC_1203,4.2074767900384025
DEC_1242,4.942281508963718
DEC_1320,4.834091580978061
DEC_1207,4.634741831591643
DEC_1243,3.8083580252476996
DEC_1306,5.639982197973642
DEC_1220,4.595772976588834
DEC_1343,5.968195270438366
DEC_1251,3.907576537460665
DEC_1268,5.581443550297453
DEC_1191,4.780549271734374
DEC_1183,4.854260214357897
DEC_1349,5.73922975982272
DEC_1316,5.0800403531784255
DEC_1280,5.771430045425085
DEC_1184,4.681130532412638
DEC_1185,4.140327077869763
DEC_1229,4.176671205474775
DEC_1333,4.63214511759185
DEC_1217,4.376005777596418
DEC_1328,4.241171390996273
DEC_1337,4.689828804857415
DEC_1318,4.231799868111632
DEC_1272,4.951185770885147
DEC_1300,5.602024168159681
DEC_1358,4.199722615507326
DEC_1269,4.172188851261353
DEC_1289,4.7511847524901665
DEC_1325,5.434178715394256
DEC_1293,5.929606852469221
DEC_1212,3.6341672876810747
DEC_1288,5.067569527714049
DEC_1260,4.563341880423922
DEC_1194,3.472934343662875
DEC_1315,4.027129926153185
DEC_1200,4.234067131178856
DEC_1230,4.196877734801481
DEC_1228,3.4501750514936105
DEC_1187,3.96891600576129
DEC_1297,5.518576128674476
DEC_1209,3.765036076651476
DEC_1341,5.2275570997408884
DEC_1380,3.710091560568339
DEC_1190,3.6733432447322816
DEC_1282,5.122359794677713
DEC_1330,3.382084447132879
DEC_1329,3.9758075738450156
DEC_1215,3.6152596648974455
DEC_1227,3.266448087799441
DEC_1373,4.534884922889534
DEC_1261,5.274306308769264
DEC_1270,4.37736990304494
DEC_1258,4.418919465888787
DEC_1342,4.170264360447943
DEC_1284,5.054486852978232
DEC_1249,2.908892581621763
DEC_1305,0.7307577796660443
DEC_1327,3.555658897628459
DEC_1234,3.0623069589425427
DEC_1290,1.397840616463915
DEC_1374,5.170113023571764
DEC_1361,3.9210883203338787
DEC_1198,3.9656066158444974
DEC_1335,3.5969346137019667
DEC_1281,3.967233433917766
DEC_1314,5.162186411309651
DEC_1319,3.1405940378425523
DEC_1188,2.666527991404121
DEC_1302,2.5047940239872837
DEC_1278,4.67621900471548
DEC_1219,3.93930842078305
DEC_1354,0.3265753979937225
DEC_1253,2.375059624091101
DEC_1310,2.626249778247968
DEC_1368,2.3969775695399553
DEC_1222,2.455983346233286
DEC_1359,4.013508567173437
DEC_1312,1.7076827360440405
DEC_1298,1.4956773726254964
DEC_1283,4.469999495548627
DEC_1323,0.6342435062371092
DEC_1366,0.027198365095370214
DEC_1301,2.2505604015238316
DEC_1344,2.833874098951343
DEC_1303,-10.290665754239562
DEC_1313,1.9060547083530879
DEC_1311,0.2991019536155761
DEC_1202,0.40979912558024756
DEC_1236,1.7313620689712463
DEC_1231,-3.811401190133112
DEC_1322,0.4985501642442225
DEC_1182,-0.6332275146147373
DEC_0828,7.620393156671756
DEC_0882,6.780061273687235
DEC_0865,8.014075254296733
DEC_0903,6.467045876364123
DEC_0921,6.347579400881883
DEC_0891,7.724759697555865
DEC_0782,7.286487582646256
DEC_0915,6.733022518612489
DEC_0855,6.371487516207862
DEC_0912,6.405902401052599
DEC_0902,5.877072545732245
DEC_0968,7.5678844779736805
DEC_0841,6.995254516257227
DEC_0859,7.433376879745634
DEC_0970,6.9719472676299965
DEC_0867,7.334743771343554
DEC_0966,7.489876685181884
DEC_0942,6.431973537707636
DEC_0794,7.408328233052424
DEC_0851,6.378585593901276
DEC_0948,6.867899704362824
DEC_0793,6.7942982859607595
DEC_0907,6.689689336241294
DEC_0808,5.82556714176674
DEC_0931,6.360800716548476
DEC_0852,7.291624896061708
DEC_0864,5.870794187733974
DEC_0939,7.496370989068229
DEC_0846,6.00796583530663
DEC_0872,6.488524114466301
DEC_0810,6.47875686896278
DEC_0796,7.317308822148666
DEC_0788,6.636443460536406
DEC_0835,5.773375922878444
DEC_0826,6.340235687564714
DEC_0926,6.525864962409688
DEC_0896,4.528956861895042
DEC_0917,6.279768772031208
DEC_0897,5.948481356839424
DEC_0805,6.771952637243329
DEC_0886,5.780223129760839
DEC_0959,7.237173231564979
DEC_0848,6.873648045760997
DEC_0785,7.054713168190369
DEC_0818,5.511841096193349
DEC_0892,5.046441349485865
DEC_0866,6.31840435372835
DEC_0923,5.528336892189888
DEC_0954,7.170726790457558
DEC_0850,5.750448649586678
DEC_0951,7.328256070371531
DEC_0952,6.91853819850226
DEC_0894,5.7075334562389575
DEC_0819,6.852867252325
DEC_0816,5.504933195932998
DEC_0870,5.972842885464055
DEC_0821,6.708881528950707
DEC_0880,7.261569314483096
DEC_0898,5.936930071882215
DEC_0798,5.372456384602966
DEC_0953,7.18621625013935
DEC_0924,5.820790274137874
DEC_0832,6.506903716487006
DEC_0901,5.133382115365353
DEC_0817,5.342572545625083
DEC_0836,6.076848422498962
DEC_0806,6.841137089359965
DEC_0809,6.438966725040337
DEC_0830,6.403237806122612
DEC_0947,6.689040715633927
DEC_0933,5.252770106857049
DEC_0854,6.956353070593014
DEC_0799,6.748297088505465
DEC_0934,5.8375278459116196
DEC_0910,5.18155753272922
DEC_0918,5.408880202710487
DEC_0824,6.125229810736432
DEC_0871,6.748718362230076
DEC_0838,6.95646383066837
DEC_0964,7.086013492871087
DEC_0802,5.719580178212032
DEC_0950,5.3835602140166365
DEC_0957,6.348789339557335
DEC_0945,6.331940871905436
DEC_0868,5.273878725815182
DEC_0904,5.225846496757978
DEC_0784,6.64978580064911
DEC_0940,5.542833291925882
DEC_0783,6.0258668573628835
DEC_0974,6.647799804486007
DEC_0884,4.877953847808998
DEC_0916,6.500113449432021
DEC_0973,6.785846267580743
DEC_0792,5.936241652793294
