,glide_scores
DEC_1204,-8.91834656740288
DEC_1324,-8.53457522126737
DEC_1351,-8.52754869966524
DEC_1321,-8.47021243886161
DEC_1186,-8.33944783060941
DEC_1199,-8.3194329969671
DEC_1334,-8.28337828092239
DEC_1353,-8.25789826549697
DEC_1362,-8.25132515280967
DEC_1193,-8.21311014407866
DEC_1376,-8.20784647746929
DEC_1266,-8.16736085299443
DEC_1273,-8.13544401742834
DEC_1223,-8.07188574192147
DEC_1244,-8.05745376961157
DEC_1189,-7.98857395127463
DEC_1206,-7.97600342111959
DEC_1365,-7.96261707286518
DEC_1295,-7.95219671047361
DEC_1255,-7.9421233095114
DEC_1348,-7.94177858226657
DEC_1240,-7.93746734842391
DEC_1304,-7.92154368085779
DEC_1326,-7.91687570627927
DEC_1367,-7.91207788276498
DEC_1338,-7.88684196196121
DEC_1350,-7.87047833551858
DEC_1259,-7.84217298161776
DEC_1256,-7.83322973013572
DEC_1235,-7.82922143438714
DEC_1192,-7.80707996934119
DEC_1226,-7.77600558485024
DEC_1379,-7.73819926400219
DEC_1372,-7.73440023280955
DEC_1210,-7.69120991232954
DEC_1196,-7.68288886188938
DEC_1267,-7.64630599554496
DEC_1299,-7.64619094951475
DEC_1224,-7.55352948572367
DEC_1181,-7.5340619328167
DEC_1208,-7.49233325519155
DEC_1205,-7.48637284726341
DEC_1347,-7.48340810687901
DEC_1345,-7.48339899954424
DEC_1308,-7.45720841675189
DEC_1265,-7.43743442071728
DEC_1250,-7.43040240754948
DEC_1257,-7.42659635611715
DEC_1332,-7.41190875543761
DEC_1370,-7.40356481424658
DEC_1369,-7.40106601031819
DEC_1201,-7.39748841409303
DEC_1336,-7.38692856970225
DEC_1195,-7.37473422752629
DEC_1279,-7.34499238427027
DEC_1275,-7.33986130857876
DEC_1286,-7.33833385728617
DEC_1296,-7.33189994905676
DEC_1277,-7.33131490997114
DEC_1263,-7.32679280675437
DEC_1211,-7.32375656928241
DEC_1378,-7.29937580733303
DEC_1221,-7.26756703966821
DEC_1340,-7.25162450127928
DEC_1254,-7.226762475439
DEC_1317,-7.21040415119024
DEC_1233,-7.1854856251726
DEC_1287,-7.15202035924441
DEC_1291,-7.15166754645021
DEC_1377,-7.14723966602599
DEC_1352,-7.13883858149244
DEC_1248,-7.13392693031844
DEC_1360,-7.1212320494339
DEC_1264,-7.08945542431625
DEC_1216,-7.07768432508998
DEC_1274,-7.0768736585823
DEC_1363,-7.07522805767736
DEC_1252,-7.04354691123434
DEC_1245,-7.02884721493828
DEC_1225,-7.01750433154059
DEC_1276,-7.01434276801028
DEC_1262,-7.01099716324064
DEC_1339,-7.00173957829368
DEC_1237,-6.9982487032568
DEC_1218,-6.99535600757622
DEC_1356,-6.99146671785401
DEC_1241,-6.97143646229965
DEC_1214,-6.95257369920032
DEC_1285,-6.93586896843591
DEC_1355,-6.92441065821353
DEC_1238,-6.91803367879554
DEC_1346,-6.91587197082215
DEC_1197,-6.90969226689782
DEC_1371,-6.90440107118355
DEC_1357,-6.84234059926144
DEC_1246,-6.8111354116058
DEC_1309,-6.75588303981789
DEC_1247,-6.75440576080723
DEC_1213,-6.74468674398208
DEC_1232,-6.70333813131268
DEC_1375,-6.70085052924645
DEC_1364,-6.67688213618774
DEC_1292,-6.64201536514148
DEC_1239,-6.63812265889142
DEC_1307,-6.63775991832516
DEC_1294,-6.62690808164294
DEC_1271,-6.62158093116695
DEC_1203,-6.60100940269176
DEC_1242,-6.58120490850964
DEC_1320,-6.52773401758656
DEC_1207,-6.51268793427071
DEC_1243,-6.50044998609795
DEC_1306,-6.45980171098495
DEC_1220,-6.45893454572294
DEC_1343,-6.45265220759838
DEC_1251,-6.38961284117405
DEC_1268,-6.38541658324651
DEC_1191,-6.38470558181746
DEC_1183,-6.38335464095052
DEC_1349,-6.37113054510418
DEC_1316,-6.36161302611705
DEC_1280,-6.35158301245909
DEC_1184,-6.35153071044295
DEC_1185,-6.32223707065428
DEC_1229,-6.31729947530896
DEC_1333,-6.28157104170355
DEC_1217,-6.28075034155088
DEC_1328,-6.26676629247562
DEC_1337,-6.25514533269145
DEC_1318,-6.24809526493434
DEC_1272,-6.24434673314622
DEC_1300,-6.22116331510289
DEC_1358,-6.21309609022629
DEC_1269,-6.18745878024974
DEC_1289,-6.18714862266029
DEC_1325,-6.18625878746653
DEC_1293,-6.17716611612587
DEC_1212,-6.12343000667887
DEC_1288,-6.12177441620145
DEC_1260,-6.10024389773744
DEC_1194,-6.08060269157178
DEC_1315,-6.07466775509837
DEC_1200,-6.05867284857999
DEC_1230,-6.03726836343378
DEC_1228,-6.00867226386342
DEC_1187,-5.99917338281434
DEC_1297,-5.99671530779535
DEC_1209,-5.95129364415341
DEC_1341,-5.86371286274176
DEC_1380,-5.84471242562207
DEC_1190,-5.82278326043113
DEC_1282,-5.72813292290077
DEC_1330,-5.70505331960632
DEC_1329,-5.70126627020464
DEC_1215,-5.69539944445967
DEC_1227,-5.68148885225697
DEC_1373,-5.63635149076414
DEC_1261,-5.59651698164494
DEC_1270,-5.58347963330955
DEC_1258,-5.57512986715212
DEC_1342,-5.55052318544406
DEC_1284,-5.52604171922967
DEC_1249,-5.50650297570659
DEC_1305,-5.50392647055722
DEC_1327,-5.46815411756354
DEC_1234,-5.4461144731875
DEC_1290,-5.44068823154317
DEC_1374,-5.43948008344582
DEC_1361,-5.43140361669203
DEC_1198,-5.41843344839037
DEC_1335,-5.40425262805243
DEC_1281,-5.38673939083969
DEC_1314,-5.35143238585903
DEC_1319,-5.30954838639301
DEC_1188,-5.2910238867967
DEC_1302,-5.27159506785309
DEC_1278,-5.26539200196029
DEC_1219,-5.171042400124
DEC_1354,-5.1045172553255
DEC_1253,-5.08622902605659
DEC_1310,-5.02164349297049
DEC_1368,-4.95102131673902
DEC_1222,-4.9096928976128
DEC_1359,-4.88686825196444
DEC_1312,-4.77279015062362
DEC_1298,-4.74402863254551
