,combind_scores
DEC_1392,1.1524450826261052
DEC_1530,4.434956943602106
DEC_1507,5.6341430728259745
DEC_1513,2.2569619668156244
DEC_1417,3.8622971661776915
DEC_1416,2.8308624509126226
DEC_1521,1.7060407858337028
DEC_1447,3.9613363608956345
DEC_1467,3.066515303241136
DEC_1529,1.3775314676466648
DEC_1415,5.024835614314888
DEC_1459,2.5374484953744494
DEC_1500,0.935466465951353
DEC_1505,2.3935018787356697
DEC_1464,2.243873544836502
DEC_1450,5.299551536031086
DEC_1427,3.423046011455687
DEC_1448,2.2169297630399987
DEC_1435,2.2685699474824705
DEC_1544,4.61550257365188
DEC_1543,2.0612868353442213
DEC_1563,3.4458130369197364
DEC_1474,3.561879252405377
DEC_1466,2.4243373537565853
DEC_1499,3.6087115388456206
DEC_1492,3.8329136509792683
DEC_1482,3.4755800668467045
DEC_1445,2.007804050261884
DEC_1462,2.9408012226519604
DEC_1403,2.266574928859196
DEC_1400,0.7221368388818314
DEC_1428,1.6906109283730935
DEC_1525,2.803352659210456
DEC_1393,1.917098227286313
DEC_1497,2.626228495646408
DEC_1468,3.881544532642379
DEC_1485,3.0635894014587355
DEC_1394,1.841976098668928
DEC_1515,3.3622289583753893
DEC_1557,1.7604852306384489
DEC_1475,2.014569088180365
DEC_1411,3.3712662169770065
DEC_1425,2.9573815155266643
DEC_1398,2.869938605234309
DEC_1461,1.5745243025405444
DEC_1578,0.9722469097749284
DEC_1449,3.7958413192820157
DEC_1414,3.4641859296294766
DEC_1572,2.038943114543624
DEC_1528,2.7094328169976967
DEC_1538,1.7755049742088538
DEC_1439,2.802292451489423
DEC_1438,3.6524870165125325
DEC_1535,3.7130531392150807
DEC_1486,2.307392408278626
DEC_1541,2.951146052010872
DEC_1495,2.228521015646476
DEC_1516,3.5607204766600904
DEC_1455,2.4102348762839876
DEC_1381,1.3502782084120186
DEC_1506,1.5446575903981818
DEC_1434,2.7994670652547766
DEC_1498,1.8821355149481747
DEC_1533,2.4745240124743852
DEC_1441,3.2918003649570178
DEC_1470,2.1565063984508175
DEC_1442,3.5906783104019158
DEC_1489,2.673182857381963
DEC_1547,1.5647937201713429
DEC_1546,1.7369166159423521
DEC_1540,3.329281514382541
DEC_1396,2.065151381829816
DEC_1514,3.338292703684449
DEC_1503,2.116199566188037
DEC_1501,2.5562333987914103
DEC_1539,-0.007445355739431392
DEC_1446,2.2540063271390895
DEC_1440,2.7555776321054606
DEC_1469,2.06043795225683
DEC_1386,2.2050792880159387
DEC_1465,2.9025730386680504
DEC_1554,1.0898127037813623
DEC_1453,1.405930394557085
DEC_1387,2.569843748398428
DEC_1512,1.280087099276722
DEC_1502,1.2797573126059523
DEC_1476,2.3536298892835057
DEC_1494,3.3287704957491115
DEC_1571,-1.5512172693408148
DEC_1404,3.645706335112703
DEC_1399,0.016869833197724837
DEC_1493,2.3055677451196095
DEC_1487,2.4384833096414344
DEC_1384,2.9484247360646165
DEC_1477,2.108084421935171
DEC_1432,2.302504246810638
DEC_1537,2.329265690276129
DEC_1473,2.7831771230539553
DEC_1420,3.1204448983176643
DEC_1527,2.3963959933228436
DEC_1412,2.343073029968218
DEC_1509,0.660966459829365
DEC_1545,2.1432921016028663
DEC_1419,2.4848100127599597
DEC_1518,0.9992543168177992
DEC_1451,2.678125498967386
DEC_1389,1.357016222033966
DEC_1483,0.0217502524136286
DEC_1550,3.716063777598037
DEC_1479,2.4621023123777985
DEC_1407,2.8858506473094607
