,glide_scores
DEC_1938,-8.56988088861547
DEC_1895,-8.41161359702842
DEC_1902,-8.37711332335862
DEC_1804,-8.16546718513985
DEC_1876,-7.96054333107533
DEC_1834,-7.75198527367288
DEC_1967,-7.73598519554831
DEC_1948,-7.66042292650041
DEC_1961,-7.64282645805498
DEC_1858,-7.61353986761103
DEC_1924,-7.5711314969954
DEC_1856,-7.52251333353953
DEC_1835,-7.49703363945384
DEC_1944,-7.48770073119053
DEC_1975,-7.4435706857984
DEC_1949,-7.43475243874482
DEC_1970,-7.42502382122623
DEC_1914,-7.3573510777764
DEC_1953,-7.34636833827505
DEC_1846,-7.31450049009733
DEC_1964,-7.28750636172822
DEC_1799,-7.26875555765192
DEC_1875,-7.25804570945743
DEC_1930,-7.25387639160988
DEC_1845,-7.19410192560127
DEC_1923,-7.19408913442808
DEC_1910,-7.17035243347685
DEC_1916,-7.10655559598475
DEC_1963,-7.04163557691218
DEC_1956,-7.0317846265001
DEC_1971,-7.01389540300383
DEC_1874,-7.00550726232913
DEC_1943,-6.96773440079046
DEC_1890,-6.95249093557004
DEC_1899,-6.94855560683146
DEC_1969,-6.94855024396116
DEC_1974,-6.94633692879327
DEC_1789,-6.94032003403624
DEC_1831,-6.93407756124584
DEC_1911,-6.9281031407866
DEC_1918,-6.92091352098252
DEC_1977,-6.86728012874762
DEC_1821,-6.85661397246333
DEC_1968,-6.83351653711064
DEC_1940,-6.83218344247658
DEC_1966,-6.83021283740491
DEC_1979,-6.82638635746564
DEC_1973,-6.82183211791928
DEC_1808,-6.79917871372428
DEC_1962,-6.79073340236165
DEC_1939,-6.77287671656051
DEC_1790,-6.76631189637416
DEC_1906,-6.74575785547056
DEC_1900,-6.73555704510234
DEC_1836,-6.72371362485523
DEC_1976,-6.71673193724351
DEC_1903,-6.7092680784627
DEC_1978,-6.69019219504275
DEC_1847,-6.67662862341583
DEC_1824,-6.67164271810431
DEC_1946,-6.66238258884848
DEC_1827,-6.65139274157319
DEC_1813,-6.63982442530631
DEC_1892,-6.62362712136762
DEC_1922,-6.62011258863506
DEC_1915,-6.60291989529026
DEC_1861,-6.58821487724295
DEC_1822,-6.58469858754247
DEC_1869,-6.56834716004216
DEC_1825,-6.5681276469172
DEC_1849,-6.52482746298953
DEC_1947,-6.5088362737534
DEC_1843,-6.4985627645876
DEC_1841,-6.48118555891448
DEC_1972,-6.44416938145543
DEC_1909,-6.4431503223884
DEC_1828,-6.43722700600016
DEC_1810,-6.42819040751548
DEC_1884,-6.42466275974863
DEC_1863,-6.41118586079749
DEC_1801,-6.40700294403168
DEC_1870,-6.39931108328106
DEC_1897,-6.39194296132029
DEC_1958,-6.38267097319691
DEC_1925,-6.36119167419379
DEC_1934,-6.36076546682887
DEC_1960,-6.36049177245005
DEC_1952,-6.32491242604376
DEC_1927,-6.3195911415821
DEC_1826,-6.31774090158131
DEC_1926,-6.3037635684601
DEC_1945,-6.29442776221566
DEC_1788,-6.28724213551145
DEC_1913,-6.28106219601713
DEC_1842,-6.27758637750172
DEC_1823,-6.25803459715853
DEC_1935,-6.24488910201485
DEC_1819,-6.23310042161237
DEC_1921,-6.23130500514718
DEC_1860,-6.23106880461261
DEC_1791,-6.22638017519457
DEC_1942,-6.21861248762468
DEC_1793,-6.20828696976459
DEC_1928,-6.20374530426764
DEC_1965,-6.19867592338701
DEC_1865,-6.18054159388269
DEC_1820,-6.16471327326173
DEC_1802,-6.14242854265353
DEC_1829,-6.14048985257574
DEC_1941,-6.1189987027138
DEC_1896,-6.10653179651071
DEC_1872,-6.09849470745409
DEC_1787,-6.08849391699624
DEC_1880,-6.08192233874246
DEC_1893,-6.05628243536543
DEC_1812,-6.04563109270934
DEC_1891,-6.03805026291692
DEC_1797,-6.03032561581113
DEC_1871,-6.00525162531986
DEC_1932,-5.97454845120441
DEC_1907,-5.96497632771487
DEC_1833,-5.94242398215141
DEC_1848,-5.93557156086062
DEC_1853,-5.92399168423569
DEC_1844,-5.89819858725374
DEC_1908,-5.89457066322823
DEC_1955,-5.88801818962562
DEC_1830,-5.83607813209434
DEC_1815,-5.7995794356524
DEC_1929,-5.79616432190382
DEC_1912,-5.75006654062341
DEC_1806,-5.73970117330558
DEC_1783,-5.73930414233787
DEC_1864,-5.73075442981456
DEC_1817,-5.7045442044039
DEC_1931,-5.6471877110977
DEC_1937,-5.64589865379589
DEC_1950,-5.63854354081316
