,glide_scores
DEC_1363,-8.70220580414025
DEC_1279,-8.47812750836393
DEC_1186,-8.46579760132641
DEC_1190,-8.31478069101333
DEC_1294,-8.11004972885219
DEC_1304,-8.07144176137415
DEC_1273,-7.96731019964381
DEC_1199,-7.82059587035617
DEC_1283,-7.75070540815101
DEC_1188,-7.75018741960684
DEC_1342,-7.71023495511629
DEC_1306,-7.69582071657991
DEC_1320,-7.65923234695871
DEC_1209,-7.62483291999588
DEC_1225,-7.55329779440806
DEC_1329,-7.52139370632664
DEC_1312,-7.48767635471866
DEC_1183,-7.43596330400541
DEC_1198,-7.42511004534678
DEC_1247,-7.39614823230587
DEC_1194,-7.39169475010349
DEC_1192,-7.36975425293327
DEC_1324,-7.34490982194911
DEC_1189,-7.32805435902986
DEC_1326,-7.3037459073946
DEC_1321,-7.29417271566403
DEC_1184,-7.27288088996489
DEC_1274,-7.24654426005865
DEC_1281,-7.22914565557757
DEC_1357,-7.22664642855542
DEC_1311,-7.21161245543667
DEC_1230,-7.19170045887594
DEC_1276,-7.17493291859579
DEC_1216,-7.14984211094362
DEC_1332,-7.124299708814
DEC_1322,-7.11212243897734
DEC_1253,-7.05757129711822
DEC_1284,-7.04024390934852
DEC_1285,-7.03691599033824
DEC_1341,-7.00532258486808
DEC_1317,-6.99965499359524
DEC_1223,-6.99662920427604
DEC_1196,-6.99077501714644
DEC_1200,-6.95010139565491
DEC_1369,-6.94954018692062
DEC_1323,-6.94027641488199
DEC_1265,-6.93401709303554
DEC_1233,-6.92950688548087
DEC_1328,-6.9267599299056
DEC_1238,-6.91983504887778
DEC_1343,-6.91399043769349
DEC_1352,-6.90633000572425
DEC_1214,-6.87067720572698
DEC_1239,-6.86657756702001
DEC_1325,-6.85630108632648
DEC_1269,-6.84395042534055
DEC_1255,-6.83673397170576
DEC_1318,-6.82496121274791
DEC_1310,-6.82472881039353
DEC_1264,-6.81478250467407
DEC_1280,-6.7990108248498
DEC_1224,-6.77868112075523
DEC_1330,-6.76005222600492
DEC_1195,-6.71991008827849
DEC_1289,-6.70268630954808
DEC_1234,-6.6887447454057
DEC_1275,-6.68651779539562
DEC_1278,-6.68011351309257
DEC_1252,-6.64102950899325
DEC_1287,-6.62474408830817
DEC_1346,-6.6095538781459
DEC_1201,-6.60827655250398
DEC_1335,-6.60268188707461
