,glide_scores
DEC_1375,-8.56980745761381
DEC_1200,-8.39522472383311
DEC_1204,-7.99113091574941
DEC_1207,-7.90330181144291
DEC_1274,-7.79369714702063
DEC_1203,-7.78618372017969
DEC_1308,-7.77385335728587
DEC_1194,-7.68574782794252
DEC_1372,-7.68135866060706
DEC_1225,-7.66260836065945
DEC_1205,-7.61284527642187
DEC_1249,-7.45247030702233
DEC_1364,-7.43895008668075
DEC_1284,-7.4229190994885
DEC_1354,-7.3771625026292
DEC_1302,-7.29696605149967
DEC_1193,-7.28163252805196
DEC_1268,-7.23042894068796
DEC_1199,-7.21518271610776
DEC_1358,-7.21291230768788
DEC_1195,-7.21252862607822
DEC_1247,-7.21087639160898
DEC_1324,-7.16843736617395
DEC_1376,-7.13449617556958
DEC_1245,-7.11120436938204
DEC_1299,-7.10258807036092
DEC_1229,-7.09681438064042
DEC_1359,-7.05209636934853
DEC_1256,-7.05055832663087
DEC_1366,-7.03142879369635
DEC_1314,-7.00125961096191
DEC_1362,-6.99394678451983
DEC_1303,-6.97760397329193
DEC_1218,-6.97329998475724
DEC_1206,-6.95838511967512
DEC_1297,-6.92758612181581
DEC_1352,-6.91589955211401
DEC_1211,-6.89191884195586
DEC_1276,-6.87258218279989
DEC_1242,-6.86396524265418
DEC_1219,-6.84496037814006
DEC_1379,-6.83208933799647
DEC_1255,-6.82717502810851
DEC_1298,-6.81541564134398
DEC_1369,-6.80430274033675
DEC_1380,-6.80395789700888
DEC_1185,-6.80288159820806
DEC_1275,-6.80219602082761
DEC_1334,-6.76382379852649
DEC_1329,-6.75499534420106
DEC_1356,-6.72768725143908
DEC_1187,-6.72485478415571
DEC_1365,-6.71182351501206
DEC_1234,-6.70626261368629
DEC_1259,-6.70472866581573
DEC_1322,-6.69811035436374
DEC_1279,-6.68914417303272
DEC_1220,-6.68295893006809
DEC_1345,-6.66455566680703
DEC_1291,-6.65275413098105
DEC_1202,-6.64884314284022
DEC_1306,-6.64365651136199
DEC_1339,-6.60622284111053
