,glide_scores
DEC_1751,-5.91954019081399
DEC_1765,-5.91806071756939
DEC_1583,-5.75852447635372
DEC_1585,-5.66636510373635
DEC_1635,-5.61443983318524
DEC_1598,-5.44719936396115
DEC_1687,-5.3996061203013
DEC_1700,-5.37595070139707
DEC_1627,-5.37418604729462
DEC_1618,-5.34559202894493
DEC_1602,-5.33655975125634
DEC_1731,-5.31645030492291
DEC_1754,-5.2951165996794
DEC_1738,-5.16256287181197
DEC_1682,-5.15636006586733
DEC_1600,-5.15437751611576
DEC_1668,-5.13115194424991
DEC_1649,-5.12052495252459
DEC_1777,-5.02128334535224
DEC_1594,-4.99885189915626
DEC_1597,-4.9631339159964
DEC_1586,-4.94874384454993
DEC_1630,-4.93683404819564
DEC_1736,-4.93571945811118
DEC_1656,-4.89938080994387
DEC_1684,-4.86576093097735
DEC_1648,-4.86416585861176
DEC_1737,-4.85482136033471
DEC_1769,-4.84124093551684
DEC_1725,-4.83318348411055
DEC_1690,-4.82754223628898
DEC_1760,-4.82669833093793
DEC_1587,-4.80678233314761
DEC_1710,-4.78887482920734
DEC_1763,-4.75504220518436
DEC_1699,-4.72565156374893
DEC_1621,-4.71623911162593
DEC_1646,-4.70312835106053
DEC_1671,-4.69429462618461
DEC_1776,-4.68849624651429
DEC_1715,-4.66686464415595
DEC_1613,-4.62699118010376
DEC_1590,-4.62611600046196
DEC_1726,-4.62519170250578
DEC_1691,-4.60268868146618
DEC_1771,-4.5948095450359
DEC_1637,-4.58159330285149
DEC_1592,-4.53750367282988
DEC_1734,-4.53107802493119
DEC_1692,-4.51008883612649
DEC_1686,-4.45966112700502
DEC_1661,-4.45804146700833
DEC_1666,-4.44877050297558
DEC_1606,-4.44769687720964
DEC_1728,-4.44465981729658
DEC_1605,-4.42715522606162
DEC_1608,-4.41071916730661
DEC_1730,-4.40880060593982
DEC_1650,-4.39141957223343
DEC_1609,-4.37318998559777
DEC_1623,-4.36729080545182
DEC_1677,-4.3627477125819
DEC_1674,-4.36026679826421
DEC_1744,-4.35252328345078
DEC_1753,-4.35174261205537
DEC_1603,-4.34958248902583
DEC_1681,-4.34565978371777
DEC_1611,-4.339095244038
DEC_1675,-4.33669545447016
DEC_1604,-4.3315295071248
DEC_1693,-4.30788200501475
DEC_1629,-4.303171404201
DEC_1596,-4.28201422009351
DEC_1719,-4.2787022011166
DEC_1779,-4.26879794446208
DEC_1761,-4.25775229089449
DEC_1584,-4.2572258954555
DEC_1593,-4.23897365573884
DEC_1620,-4.22927697773464
DEC_1660,-4.22582788645137
DEC_1589,-4.22122766342557
DEC_1654,-4.22064201931712
DEC_1743,-4.2165561300059
DEC_1673,-4.21619952169088
DEC_1711,-4.19319823962055
DEC_1670,-4.18437626080829
DEC_1631,-4.18164430668205
DEC_1634,-4.16541949418044
DEC_1756,-4.16032170987244
DEC_1615,-4.15295341215613
DEC_1762,-4.12813327266402
DEC_1601,-4.12577288344187
DEC_1591,-4.11378609109544
DEC_1636,-4.1117043718841
DEC_1723,-4.11151152325448
DEC_1780,-4.10307486372404
DEC_1689,-4.09375204656927
DEC_1757,-4.09265415903182
DEC_1655,-4.08926136862153
DEC_1748,-4.08776342128357
DEC_1640,-4.08740225704695
DEC_1664,-4.08237239160092
DEC_1720,-4.07306546799252
DEC_1721,-4.06757779723642
DEC_1645,-4.06260914196295
DEC_1663,-4.03390790452007
DEC_1749,-4.03035282107085
DEC_1657,-4.02804385311391
DEC_1633,-4.00421702406779
DEC_1642,-3.9977860976319
DEC_1696,-3.99541780693972
DEC_1638,-3.99217863439576
DEC_1651,-3.99014567851292
DEC_1752,-3.97997132267176
DEC_1705,-3.97765908386008
DEC_1709,-3.96771632699997
DEC_1722,-3.96749186302096
DEC_1653,-3.95686259704653
DEC_1639,-3.95247822951939
DEC_1707,-3.94007146785251
DEC_1610,-3.93542613179765
DEC_1667,-3.92760267887493
DEC_1747,-3.92211155406176
DEC_1647,-3.90787262934022
DEC_1582,-3.90666189462885
DEC_1741,-3.90626577143668
DEC_1758,-3.90533349403993
DEC_1768,-3.90498902595529
DEC_1695,-3.89916973094449
DEC_1759,-3.88990227791533
DEC_1624,-3.88286653880754
DEC_1698,-3.87648783383911
DEC_1773,-3.87623232499353
DEC_1733,-3.86609161126983
DEC_1619,-3.85827787325385
DEC_1632,-3.82176841455405
DEC_1678,-3.82170233650597
DEC_1685,-3.81481827068793
DEC_1616,-3.81430509454977
DEC_1729,-3.81013268233808
DEC_1718,-3.80695367128772
DEC_1766,-3.80408020768487
DEC_1745,-3.78131108484632
DEC_1643,-3.77243801835723
DEC_1607,-3.77117279405342
DEC_1697,-3.76752703947835
DEC_1665,-3.75863760352542
DEC_1732,-3.7516549355537
DEC_1659,-3.7466409741042
DEC_1706,-3.73982266913694
DEC_1770,-3.73589903364102
DEC_1750,-3.71661254276304
DEC_1622,-3.715297742004
DEC_1641,-3.71105688035055
DEC_1644,-3.70898342059872
DEC_1708,-3.70381118563305
DEC_1688,-3.69909283104427
DEC_1704,-3.67088283424195
DEC_1676,-3.65712490875323
DEC_1701,-3.65520289056842
DEC_1588,-3.63937342831677
DEC_1625,-3.61929609726946
DEC_1614,-3.60325516666457
DEC_1778,-3.59745807118199
DEC_1694,-3.59283756313446
DEC_1617,-3.57452972158668
DEC_1740,-3.56216902920158
DEC_1679,-3.55266953692328
DEC_1714,-3.53373265698127
DEC_1775,-3.5105681591624
DEC_1767,-3.49802007120792
DEC_1774,-3.46999802195558
DEC_1595,-3.46418220638337
DEC_1742,-3.45316396841167
DEC_1669,-3.44484348833373
DEC_1581,-3.43964107736314
DEC_1764,-3.43715453226247
DEC_1772,-3.43151971884746
DEC_1683,-3.42663516852144
DEC_1680,-3.42659814828069
DEC_1662,-3.42100455633599
DEC_1717,-3.41318152941302
DEC_1746,-3.40881686404067
DEC_1672,-3.38264573556811
DEC_1739,-3.36998530332227
DEC_1716,-3.3074033163267
DEC_1612,-3.2482737679204
DEC_1652,-3.24651464203767
DEC_1599,-3.22618014662062
DEC_1713,-3.19385737097294
DEC_1703,-3.1652204888963
DEC_1702,-3.12295735121022
DEC_1658,-2.94508753132444
DEC_1724,-2.90347565729681
DEC_1755,-2.84005446188273
DEC_1628,-2.81140299927053
DEC_1735,-2.76103778763179
DEC_1712,-2.74732226045177
DEC_1626,-2.73689550898346
DEC_1727,-2.66577510088704
