target_chembl_id,standard_type,standard_value,assay_chembl_id,target_name,mw_freebase,smiles,ligand_chembl_id,uniprot_id,ccd,pdb_list
CHEMBL3797017,IC50,191.4,CHEMBL3803623,histone deacetylase 8,359.6,O=C(NO)c1ccc(Cl)c(NC(=O)c2ccc(Cl)cc2Cl)c1,CHEMBL3797232,A5H660,GT2,6HU1
CHEMBL3797017,IC50,121.6,CHEMBL3803623,histone deacetylase 8,355.18,COc1ccc(C(=O)NO)cc1NC(=O)c1ccc(Cl)cc1Cl,CHEMBL3797442,A5H660,T86,6HU0
CHEMBL3797017,IC50,75.4,CHEMBL3803623,histone deacetylase 8,362.39,COc1ccc(C(=O)NO)cc1NC(=O)c1ccc(-c2ccccc2)cc1,CHEMBL3800394,A5H660,GQN,6HTH
CHEMBL3797017,IC50,182.7,CHEMBL3803623,histone deacetylase 8,300.31,COc1ccc(C(=O)NO)cc1NC(=O)Cc1ccccc1,CHEMBL3799265,A5H660,GRK,6HTZ
CHEMBL3797017,IC50,95.4,CHEMBL4158657,histone deacetylase 8,326.38,O=C(NO)c1cccc(-c2cn(CSc3ccccc3)nn2)c1,CHEMBL2178342,A5H660,GM5,6HRQ
CHEMBL3797017,IC50,303.4,CHEMBL4158657,histone deacetylase 8,394.48,Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21,CHEMBL2105763,A5H660,GOK,6HSH
CHEMBL3797017,IC50,97.0,CHEMBL4158657,histone deacetylase 8,346.8,O=C(NO)c1ccc(Cl)c(NC(=O)c2cccc3ccsc23)c1,CHEMBL4160522,A5H660,GQW,6HTI
CHEMBL3797017,IC50,504.0,CHEMBL4158657,histone deacetylase 8,348.72,O=C(NO)c1cn(-c2cc(Cl)ccc2Oc2ccc(F)cc2)nn1,CHEMBL4176696,A5H660,GRZ,6HU3
CHEMBL3797017,IC50,180.0,CHEMBL4811364,histone deacetylase 8,305.79,O=C(/C=C/c1ccccc1Sc1ccc(Cl)cc1)NO,CHEMBL4872913,A5H660,FG8,6GXU
CHEMBL3797017,IC50,270.0,CHEMBL4843953,histone deacetylase 8,376.37,COc1ccc(C(=O)NO)cc1NC(=O)c1cccc2c1oc1ccccc12,CHEMBL4847326,A5H660,5IB,7P3S
