ID,SMILES
4UH6_lig,CNCCN(C)c1cc(C#N)cc(CCc2cc(C)cc(N)n2)c1
5FVV_lig,Cc1cc(N)nc(CCc2cncc(C3CCN(C)CC3)c2)c1
5FVU_lig,Cc1cc(N)nc(CCc2cncc(N3CCN(C)CC3)c2)c1
6AUZ_lig,CNCCCc1cc(F)cc(CCc2cc(C)cc(N)n2)c1
6AV0_lig,CNCCCc1cc(C#N)cc(CCc2cc(C)cc(N)n2)c1
6AV1_lig,Cc1cc(N)nc(CCc2cc(F)cc(CCCN(C)C)c2)c1
6AV3_lig,CNCc1cccc(-c2cncc(CCc3cc(C)cc(N)n3)c2)c1
6AV4_lig,CNCc1ccc(-c2cncc(CCc3cc(C)cc(N)n3)c2)cc1
6AV5_lig,CNCc1cccc(-c2cc(F)cc(CCc3cc(C)cc(N)n3)c2)c1
5VV5_lig,Cc1cc(CCNCc2ccc3c(C)cc(N)nc3c2)ccc1C#N
5VV4_lig,Cc1cc(CCNCc2ccc3ccc(N)nc3c2)ccc1C#N
5VV3_lig,N#Cc1ccc(CCNCc2ccc3ccc(N)nc3c2)cc1
5VV2_lig,Nc1ccc2ccc(CNCCCc3cncc(F)c3)cc2n1
5VV1_lig,COc1ccncc1CCCNCc1ccc2ccc(N)nc2c1
5VV0_lig,Cc1ccncc1CCCNCc1ccc2ccc(N)nc2c1
5VUY_lig,CN(C)c1ccc(CCNCc2ccc3ccc(N)nc3c2)cc1
5VUX_lig,CN(C)c1ccc(CNCc2ccc3ccc(N)nc3c2)cc1
5ADG_lig,CNCc1cc(OCc2ccc3ccc(N)nc3c2)ccc1Cl
5UO3_lig,CNCc1cc(C#N)cc(OCc2ccc3c(C)cc(N)nc3c2)c1
5UO4_lig,CNCCc1cc(C#N)cc(OCc2ccc3c(C)cc(N)nc3c2)c1
5UO5_lig,CN[C@H](C)Cc1cc(C#N)cc(OCc2ccc3c(C)cc(N)nc3c2)c1
6PNF_lig,CCOc1ccc(-c2ccc3c(C)cc(N)nc3c2)cc1CN
6PNG_lig,CCCOc1ccc(-c2ccc3c(C)cc(N)nc3c2)cc1CN
6PNH_lig,Cc1cc(N)nc2cc(-c3ccc(OC(C)C)c(CN)c3)ccc12
6PO5_lig,Cc1cc(N)nc2cc(-c3ccc(OCC4CCC4)c(CN)c3)ccc12
6PO7_lig,Cc1cc(N)nc2cc(-c3ccc(OCC4CC4)c(CN)c3)ccc12
6PO8_lig,Cc1cc(N)nc2cc(-c3ccc(OCc4ccc(C#N)cc4)c(CN)c3)ccc12
6PO9_lig,Cc1cc(N)nc2cc(-c3ccc(OCc4ccccn4)c(CN)c3)ccc12
6POA_lig,Cc1cc(N)nc2cc(-c3ccc(OCc4cccnc4)c(CN)c3)ccc12
6POB_lig,Cc1cc(N)nc2cc(-c3ccc(OCc4cscn4)c(CN)c3)ccc12
6POC_lig,Cc1cc(N)nc2cc(-c3ccc(OCc4cocn4)c(CN)c3)ccc12
6POT_lig,Cc1cc(N)nc2cc(-c3ccc(OCc4cncs4)c(CN)c3)ccc12
6NHC_lig,Cc1cc(N)nc(CCc2cc(CC[C@H]3CCN3C)cc(F)c2F)c1
6NHB_lig,CCO[C@@H]1C[C@H](CCc2cc(F)c(F)c(CCc3cc(C)cc(N)n3)c2)N(C)C1
6NGI_lig,Cc1cc(N)nc(CCc2cc(CC[C@H]3COCCN3C)cc(F)c2F)c1
6NGH_lig,Cc1cc(N)nc(CCc2cc(CC[C@H]3CCCN3C)cc(F)c2F)c1
6NGF_lig,Cc1cc(N)nc(CCc2cc(CC[C@@H]3CCCN3C)cc(F)c2F)c1
6NGE_lig,CNCC#Cc1cc(F)c(F)c(CCc2cc(C)cc(N)n2)c1
6NGD_lig,Cc1cc(N)nc(CCc2cc(CCCN(C)C)c(F)c(F)c2F)c1
6NGC_lig,Cc1cc(N)nc(CCc2c(F)c(F)cc(CCCN(C)C)c2F)c1
6NGB_lig,Cc1cc(N)nc(CCc2cc(F)cc(CCCN(C)C)c2F)c1
6NGA_lig,Cc1cc(N)nc(CCc2c(F)ccc(CCCN(C)C)c2F)c1
6NG8_lig,Cc1cc(N)nc(CCc2cc(CCCN(C)C)cc(F)c2F)c1
6NG7_lig,Cc1cc(N)nc(CCc2cc(F)cc(CC[C@@H]3C[C@H](F)CN3C)c2)c1
6NG6_lig,Cc1cc(N)nc(CCc2cc(F)cc(CC[C@H]3CCCN3)c2)c1
6NG5_lig,Cc1cc(N)nc(CCc2cc(F)cc(CC[C@@H]3CCCN3C)c2)c1
6NG4_lig,Cc1cc(N)nc(CCc2cc(F)cc(CC[C@@H]3CCCN3)c2)c1
6NG2_lig,Cc1cc(N)nc(CCc2cc(F)cc(C#CCN(C)C)c2)c1
