target_chembl_id,standard_type,standard_value,assay_chembl_id,target_name,mw_freebase,smiles,ligand_chembl_id,uniprot_id,ccd,pdb_list
CHEMBL3048,IC50,450.0,CHEMBL1959863,nitric-oxide synthase  brain,371.5,Cc1cc(N)nc(C[C@H]2CNC[C@H]2NCCNCCc2cccc(F)c2)c1,CHEMBL480419,P29476,JI4,3JWS
CHEMBL3048,Ki,15.0,CHEMBL957513,nitric-oxide synthase  brain,372.49,Cc1cc(N)nc(C[C@H]2CNC[C@H]2OCCNCCc2cccc(F)c2)c1,CHEMBL469987,P29476,JSS,3NLK
CHEMBL3048,Ki,7.0,CHEMBL1274959,nitric-oxide synthase  brain,372.49,Cc1cc(N)nc(C[C@@H]2CNC[C@@H]2OCCNCCc2cccc(F)c2)c1,CHEMBL607146,P29476,JRR,3NLJ
CHEMBL3048,Ki,50.0,CHEMBL1274959,nitric-oxide synthase  brain,358.46,Nc1cccc(C[C@@H]2CNC[C@@H]2OCCNCCc2cccc(F)c2)n1,CHEMBL1230380,P29476,59R,3NNY
CHEMBL3048,Ki,220.0,CHEMBL1274959,nitric-oxide synthase  brain,358.46,Nc1cccc(C[C@H]2CNC[C@H]2OCCNCCc2cccc(F)c2)n1,CHEMBL1230381,P29476,59W,3NNZ
CHEMBL3048,Ki,85.0,CHEMBL1767573,nitric-oxide synthase  brain,361.49,Cc1cc(N)nc(CCc2cc(N)cc(CCc3cc(C)cc(N)n3)c2)c1,CHEMBL1615292,P29476,XFN,3N60
CHEMBL3048,Ki,195.0,CHEMBL1767573,nitric-oxide synthase  brain,347.47,Cc1cc(N)nc(CCc2cccc(CCc3cc(C)nc(N)c3)n2)c1,CHEMBL1615291,P29476,XFM,3N5Z
CHEMBL3048,Ki,99.0,CHEMBL1767573,nitric-oxide synthase  brain,347.47,Cc1cc(N)nc(CCc2cccc(CCc3cc(C)cc(N)n3)n2)c1,CHEMBL1615290,P29476,XFL,3N5Y
CHEMBL3048,Ki,103.0,CHEMBL1767573,nitric-oxide synthase  brain,347.47,Cc1cc(N)nc(CCc2cncc(CCc3cc(C)nc(N)c3)c2)c1,CHEMBL1615289,P29476,XFK,3N5X
CHEMBL3048,Ki,25.0,CHEMBL1767573,nitric-oxide synthase  brain,347.47,Cc1cc(N)nc(CCc2cncc(CCc3cc(C)cc(N)n3)c2)c1,CHEMBL1615288,P29476,XFJ,3N5W
CHEMBL3048,Ki,38.0,CHEMBL1767573,nitric-oxide synthase  brain,346.48,Cc1cc(N)nc(CCc2cccc(CCc3cc(C)nc(N)c3)c2)c1,CHEMBL1615287,P29476,XFH,3N5V
CHEMBL3048,Ki,160.0,CHEMBL1826313,nitric-oxide synthase  brain,408.47,Cc1cc(N)nc(C[C@@H]2CNC[C@@H]2OCCNCC(F)(F)c2ccc(F)cc2)c1,CHEMBL1614783,P29476,3XC,3NLY
CHEMBL3048,Ki,110.0,CHEMBL1826313,nitric-oxide synthase  brain,408.47,Cc1cc(N)nc(C[C@@H]2CNC[C@@H]2OCCNCC(F)(F)c2cccc(F)c2)c1,CHEMBL1614782,P29476,3XB,3NLX
CHEMBL3048,Ki,86.0,CHEMBL1826313,nitric-oxide synthase  brain,424.92,Cc1cc(N)nc(C[C@@H]2CNC[C@@H]2OCCNCC(F)(F)c2cccc(Cl)c2)c1,CHEMBL1824855,P29476,8AX,3PNE
CHEMBL3048,Ki,170.0,CHEMBL1826313,nitric-oxide synthase  brain,424.92,Cc1cc(N)nc(C[C@@H]2CNC[C@@H]2OCCNCC(F)(F)c2ccccc2Cl)c1,CHEMBL1824856,P29476,8BX,3PNF
CHEMBL3048,Ki,77.0,CHEMBL1826313,nitric-oxide synthase  brain,442.91,Cc1cc(N)nc(C[C@@H]2CNC[C@@H]2OCCNCC(F)(F)c2cc(F)cc(Cl)c2)c1,CHEMBL1824858,P29476,JK5,3SVP
CHEMBL3048,Ki,180.0,CHEMBL1826313,nitric-oxide synthase  brain,426.46,Cc1cc(N)nc(C[C@@H]2CNC[C@@H]2OCCNCC(F)(F)c2cccc(F)c2F)c1,CHEMBL1824859,P29476,JK4,3SVQ
CHEMBL3048,Ki,410.0,CHEMBL1959863,nitric-oxide synthase  brain,358.46,Cc1cc(N)nc(C[C@H]2CNC[C@H]2OCCNCc2ccccc2F)c1,CHEMBL1956738,P29476,AXW,3TYL
CHEMBL3048,Ki,820.0,CHEMBL1959863,nitric-oxide synthase  brain,370.5,COc1ccccc1CNCCO[C@@H]1CNC[C@@H]1Cc1cc(C)cc(N)n1,CHEMBL1956739,P29476,08R,3TYM
CHEMBL3048,Ki,390.0,CHEMBL1959863,nitric-oxide synthase  brain,356.47,Cc1cc(N)nc(C[C@H]2CNC[C@H]2OCCNCc2ccccc2O)c1,CHEMBL1956740,P29476,CXW,3TYN
CHEMBL3048,Ki,400.0,CHEMBL1959863,nitric-oxide synthase  brain,330.43,Cc1cc(N)nc(C[C@H]2CNC[C@H]2OCCNCc2ccco2)c1,CHEMBL1956741,P29476,DXW,3TYO
CHEMBL3048,Ki,56.0,CHEMBL2330225,nitric-oxide synthase  brain,371.49,Cc1cc(N)nc(CCc2cc(C#N)cc(CCc3cc(C)cc(N)n3)c2)c1,CHEMBL2326361,P29476,1EV,4IMW
CHEMBL3048,Ki,53.0,CHEMBL2330225,nitric-oxide synthase  brain,375.52,Cc1cc(N)nc(CCc2cc(CN)cc(CCc3cc(C)cc(N)n3)c2)c1,CHEMBL2326360,P29476,1ET,4IMU
CHEMBL3048,Ki,110.0,CHEMBL2330225,nitric-oxide synthase  brain,403.57,Cc1cc(N)nc(CCc2ccc(CCCN)c(CCc3cc(C)cc(N)n3)c2)c1,CHEMBL2326359,P29476,1EW,4IMT
CHEMBL3048,Ki,540.0,CHEMBL2330225,nitric-oxide synthase  brain,403.57,Cc1cc(N)nc(CCc2cc(CCCN)cc(CCc3cc(C)cc(N)n3)c2)c1,CHEMBL2326358,P29476,12S,4IMS
CHEMBL3048,Ki,46.0,CHEMBL2344060,nitric-oxide synthase  brain,384.5,Cc1cc(N)nc(C[C@@H]2CNC[C@@H]2OCCN[C@H]2C[C@@H]2c2cccc(F)c2)c1,CHEMBL2332793,P29476,Y2B,3RQJ
CHEMBL3048,Ki,140.0,CHEMBL2415804,nitric-oxide synthase  brain,366.44,Cc1cc(N)nc(COc2cncc(CNCCc3cccc(F)c3)c2)c1,CHEMBL2414437,P29476,QJ7,4JSJ
CHEMBL3048,Ki,40.0,CHEMBL2415804,nitric-oxide synthase  brain,365.45,Cc1cc(N)nc(COc2cccc(CNCCc3cccc(F)c3)c2)c1,CHEMBL2414435,P29476,Q05,4JSI
CHEMBL3048,Ki,117.0,CHEMBL2415804,nitric-oxide synthase  brain,327.43,Cc1cc(N)nc(COc2cccc(OCC3CCNCC3)c2)c1,CHEMBL2414432,P29476,Q15,4JSH
CHEMBL3048,Ki,86.0,CHEMBL2415804,nitric-oxide synthase  brain,312.46,Cc1cc(N)nc(CCCCCCCc2cc(C)cc(N)n2)c1,CHEMBL2414428,P29476,QJ4,4JSF
CHEMBL3048,Ki,232.0,CHEMBL2433967,nitric-oxide synthase  brain,345.45,Cc1cc(N)nc(COCC[C@@H](CN)OCc2cc(C)cc(N)n2)c1,CHEMBL2430148,P29476,Q14,4K5F
CHEMBL3048,Ki,37.0,CHEMBL2433967,nitric-oxide synthase  brain,345.45,Cc1cc(N)nc(COC[C@H](N)[C@H](C)OCc2cc(C)cc(N)n2)c1,CHEMBL2430150,P29476,Q13,4K5G
CHEMBL3048,Ki,382.0,CHEMBL2433967,nitric-oxide synthase  brain,331.42,Cc1cc(N)nc(COC[C@H](CN)OCc2cc(C)cc(N)n2)c1,CHEMBL2430143,P29476,1Q6,4K5D
CHEMBL3048,Ki,32.0,CHEMBL2433967,nitric-oxide synthase  brain,331.42,Cc1cc(N)nc(COC[C@@H](CN)OCc2cc(C)cc(N)n2)c1,CHEMBL2430144,P29476,1Q7,4K5E
CHEMBL3048,Ki,9.7,CHEMBL3110716,nitric-oxide synthase  brain,357.46,Cc1cc(N)nc(COC[C@H]2C[C@H](OCc3cc(C)cc(N)n3)CN2)c1,CHEMBL3109188,P29476,Q16,4CX6
CHEMBL3048,Ki,26.0,CHEMBL3110716,nitric-oxide synthase  brain,357.46,Cc1cc(N)nc(COC[C@@H]2C[C@@H](OCc3cc(C)cc(N)n3)CN2)c1,CHEMBL3109186,P29476,QJ8,4LUX
CHEMBL3048,Ki,73.0,CHEMBL3130587,nitric-oxide synthase  brain,381.52,CCN(CCc1cccc(F)c1)Cc1cccc(NC(=N)c2cccs2)c1,CHEMBL3125049,P29476,5H4,4KCO
CHEMBL3048,Ki,11.0,CHEMBL3130587,nitric-oxide synthase  brain,353.47,N=C(Nc1cccc(CNCCc2cccc(F)c2)c1)c1cccs1,CHEMBL3125048,P29476,5H3,4KCN
CHEMBL3048,Ki,49.0,CHEMBL3130587,nitric-oxide synthase  brain,487.7,CCN(CCc1ccc(NC(=N)c2cccs2)cc1)Cc1cccc(NC(=N)c2cccs2)c1,CHEMBL3128247,P29476,1QF,4KCM
CHEMBL3048,Ki,5.0,CHEMBL3130587,nitric-oxide synthase  brain,459.64,N=C(Nc1ccc(CCNCc2cccc(NC(=N)c3cccs3)c2)cc1)c1cccs1,CHEMBL3128246,P29476,H44,4KCL
CHEMBL3048,Ki,5.0,CHEMBL3130587,nitric-oxide synthase  brain,459.64,N=C(Nc1cccc(CCNCc2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,CHEMBL3128245,P29476,H45,4KCK
CHEMBL3048,Ki,130.0,CHEMBL3130587,nitric-oxide synthase  brain,462.6,N=C(Nc1cccc(OCCOc2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,CHEMBL3128243,P29476,H36,4KCJ
CHEMBL3048,Ki,739.0,CHEMBL3130587,nitric-oxide synthase  brain,430.6,N=C(Nc1cccc(CCc2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,CHEMBL3128241,P29476,1QE,4KCI
CHEMBL3048,Ki,787.0,CHEMBL3130587,nitric-oxide synthase  brain,402.55,N=C(Nc1cccc(-c2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,CHEMBL3125050,P29476,H38,4KCH
CHEMBL3048,Ki,144.0,CHEMBL3266756,nitric-oxide synthase  brain,361.49,Cc1cc(N)nc(CCc2cccc([C@@H](N)Cc3cc(C)cc(N)n3)c2)c1,CHEMBL3262017,P29476,2IK,4CTP
CHEMBL3048,Ki,122.0,CHEMBL3266756,nitric-oxide synthase  brain,361.49,Cc1cc(N)nc(CCc2cccc([C@H](N)Cc3cc(C)cc(N)n3)c2)c1,CHEMBL3262018,P29476,S5D,4CTQ
CHEMBL3048,Ki,903.0,CHEMBL3266756,nitric-oxide synthase  brain,346.48,Cc1ccnc(CCc2cccc([C@@H](N)Cc3cc(C)cc(N)n3)c2)c1,CHEMBL3262020,P29476,S7K,4CTT
CHEMBL3048,Ki,70.0,CHEMBL3266756,nitric-oxide synthase  brain,376.51,Cc1cc(N)nc(CCc2cncc([C@@H](CN)Cc3cc(C)cc(N)n3)c2)c1,CHEMBL3262025,P29476,71S,4CTX
CHEMBL3048,Ki,24.0,CHEMBL3266756,nitric-oxide synthase  brain,376.51,Cc1cc(N)nc(CCc2cncc([C@H](CN)Cc3cc(C)cc(N)n3)c2)c1,CHEMBL3262026,P29476,S71,4CTW
CHEMBL3048,Ki,22.1,CHEMBL3374894,nitric-oxide synthase  brain,545.73,N=C(Nc1cccc(COC[C@@H]2C[C@H](OCc3cccc(NC(=N)c4cccs4)c3)CN2)c1)c1cccs1,CHEMBL3325614,P29476,6E5,4UPO
CHEMBL3048,Ki,67.0,CHEMBL3587003,nitric-oxide synthase  brain,366.43,CNCCN(C)c1cc(CCc2cc(C)cc(N)n2)cc(C(F)(F)F)c1,CHEMBL3586662,P29476,S84,4UH2
CHEMBL3048,Ki,34.0,CHEMBL3587003,nitric-oxide synthase  brain,316.42,CNCCN(C)c1cc(F)cc(CCc2cc(C)cc(N)n2)c1,CHEMBL3586663,P29476,S85,4UH3
CHEMBL3048,Ki,24.0,CHEMBL3587003,nitric-oxide synthase  brain,323.44,CNCCN(C)c1cc(C#N)cc(CCc2cc(C)cc(N)n2)c1,CHEMBL3586664,P29476,Q1T,4UH4
CHEMBL3048,Ki,72.0,CHEMBL3820407,nitric-oxide synthase  brain,310.45,Cc1cc(N)nc(CCc2cncc(C3CCN(C)CC3)c2)c1,CHEMBL3819551,P29476,H65,5FVR
CHEMBL3048,Ki,43.0,CHEMBL3820407,nitric-oxide synthase  brain,311.43,Cc1cc(N)nc(CCc2cncc(N3CCN(C)CC3)c2)c1,CHEMBL3818545,P29476,W64,5G0O
CHEMBL3048,Ki,558.0,CHEMBL3820407,nitric-oxide synthase  brain,300.41,COCCCNc1cncc(CCc2cc(C)cc(N)n2)c1,CHEMBL3819582,P29476,D8H,5FVO
CHEMBL3048,Ki,41.0,CHEMBL4032163,nitric-oxide synthase  brain,301.41,CNCCCc1cc(F)cc(CCc2cc(C)cc(N)n2)c1,CHEMBL4079135,P29476,W68,6AUR
CHEMBL3048,Ki,252.0,CHEMBL4032163,nitric-oxide synthase  brain,308.43,CNCCCc1cc(C#N)cc(CCc2cc(C)cc(N)n2)c1,CHEMBL4086997,P29476,BYV,6AUS
CHEMBL3048,Ki,26.0,CHEMBL4032163,nitric-oxide synthase  brain,315.44,Cc1cc(N)nc(CCc2cc(F)cc(CCCN(C)C)c2)c1,CHEMBL4094689,P29476,W69,6AUT
