target_chembl_id,standard_type,standard_value,assay_chembl_id,target_name,mw_freebase,smiles,ligand_chembl_id,uniprot_id,ccd,pdb_list
CHEMBL1892,IC50,400.0,CHEMBL3428582,glutamate carboxypeptidase ii,706.61,O=C(O)CC[C@H](NP(=O)(O)OCCC[C@H](NC(=O)CC[C@H](NC(=O)CCCCCNC(=O)c1ccc(F)cc1)C(=O)O)C(=O)O)C(=O)O,CHEMBL3427435,Q04609,T57,4JYW
CHEMBL1892,IC50,0.021,CHEMBL4270348,glutamate carboxypeptidase ii,549.32,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(=O)O)C(=O)O,CHEMBL510924,Q04609,YC2,3D7H
CHEMBL1892,IC50,0.13,CHEMBL4270348,glutamate carboxypeptidase ii,575.55,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)N(CCNC(=O)c1ccc(F)nc1)c1ccccc1)C(=O)O)C(=O)O,CHEMBL4280968,Q04609,GBZ,6HKZ
CHEMBL1892,IC50,0.075,CHEMBL4270348,glutamate carboxypeptidase ii,442.4,CN(C(=O)CCC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)c1ccc(F)nc1,CHEMBL4284995,Q04609,FVW,6H7Z
CHEMBL1892,IC50,0.99,CHEMBL4270348,glutamate carboxypeptidase ii,428.37,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)Nc1ccc(F)nc1)C(=O)O)C(=O)O,CHEMBL4292853,Q04609,G8W,6HKJ
CHEMBL1892,IC50,0.35,CHEMBL4270348,glutamate carboxypeptidase ii,427.39,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)Nc1ccc(F)cc1)C(=O)O)C(=O)O,CHEMBL4291782,Q04609,FVZ,6H7Y
CHEMBL1892,IC50,2.32,CHEMBL4270348,glutamate carboxypeptidase ii,441.41,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)NCc1ccc(F)cc1)C(=O)O)C(=O)O,CHEMBL4279502,Q04609,9TB,5OF0
CHEMBL1892,IC50,8.9,CHEMBL4311581,glutamate carboxypeptidase ii,305.28,CC(C)C[C@@H](NC(=O)O[C@@H](CCC(=O)O)C(=O)O)C(=O)O,CHEMBL4473741,Q04609,BXK,6ETY
CHEMBL1892,IC50,0.65,CHEMBL4311581,glutamate carboxypeptidase ii,305.28,CC(C)C[C@H](NC(=O)O[C@@H](CCC(=O)O)C(=O)O)C(=O)O,CHEMBL4442450,Q04609,CQB,6F5L
CHEMBL1892,IC50,16.9,CHEMBL4311581,glutamate carboxypeptidase ii,305.28,CC(C)C[C@H](OC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,CHEMBL4541841,Q04609,C68,6EZ9
CHEMBL1892,IC50,0.5,CHEMBL4311581,glutamate carboxypeptidase ii,304.3,CC(C)C[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,CHEMBL596351,Q04609,D6E,6FE5
CHEMBL1892,IC50,107.0,CHEMBL4358815,glutamate carboxypeptidase ii,592.34,O=C(O)CC[C@H](NC(=O)NCC[C@H](NC(=O)CCNC(=O)c1ccc(I)cc1)C(=O)O)C(=O)O,CHEMBL4471968,Q04609,KRZ,6S1X
CHEMBL1892,IC50,3.97,CHEMBL4358815,glutamate carboxypeptidase ii,592.34,O=C(O)CC[C@H](NC(=O)NC[C@@H](NC(=O)CCCNC(=O)c1ccc(I)cc1)C(=O)O)C(=O)O,CHEMBL4590944,Q04609,JX5,6RBC
CHEMBL1892,Ki,318.0,CHEMBL1067317,glutamate carboxypeptidase ii,503.29,O=C(N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(=O)O)NC1(C(=O)O)CC1,CHEMBL593155,Q04609,2R7,4OC0
CHEMBL1892,Ki,11.0,CHEMBL1067317,glutamate carboxypeptidase ii,517.32,C=CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(=O)O)C(=O)O,CHEMBL594123,Q04609,YZE,3IWW
CHEMBL1892,Ki,5.3,CHEMBL1067317,glutamate carboxypeptidase ii,515.3,C#CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(=O)O)C(=O)O,CHEMBL595408,Q04609,2QQ,4OC2
CHEMBL1892,Ki,23.0,CHEMBL1067317,glutamate carboxypeptidase ii,551.4,CSCC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(=O)O)C(=O)O,CHEMBL593097,Q04609,JRG,3SJF
CHEMBL1892,Ki,85.1,CHEMBL1067317,glutamate carboxypeptidase ii,569.35,O=C(N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(=O)O)N[C@H](C(=O)O)c1ccc(O)cc1,CHEMBL594019,Q04609,2QM,4OC5
CHEMBL1892,Ki,5.3,CHEMBL1067317,glutamate carboxypeptidase ii,557.34,O=C(N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(=O)O)N[C@@H](Cc1ccco1)C(=O)O,CHEMBL604257,Q04609,2QP,4OC3
CHEMBL1892,Ki,105.0,CHEMBL1067317,glutamate carboxypeptidase ii,568.37,O=C(N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(=O)O)N[C@@H](Cc1ccncc1)C(=O)O,CHEMBL593331,Q04609,2QN,4OC4
CHEMBL1892,Ki,0.0449,CHEMBL3363782,glutamate carboxypeptidase ii,530.37,CC(=O)N(CCCC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)Cc1ccc(Br)cc1,CHEMBL3309678,Q04609,JB7,4NGM
CHEMBL1892,Ki,0.268,CHEMBL3363782,glutamate carboxypeptidase ii,603.42,CC(=O)NCCOc1cc(Br)ccc1C(=O)NCCCC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,CHEMBL3309676,Q04609,J21,4NGR
