target_chembl_id,standard_type,standard_value,assay_chembl_id,target_name,mw_freebase,smiles,ligand_chembl_id,uniprot_id,ccd,pdb_list
CHEMBL4409,IC50,6.0,CHEMBL886046,phosphodiesterase 10a,455.49,CCOc1ccccc1-c1ccc(-c2nc3ccc(F)cc3c(N[C@H](C)C(=O)O)c2C#N)cc1,CHEMBL248380,Q9Y233,K63,5SJR
CHEMBL4409,IC50,7.16,CHEMBL1119709,phosphodiesterase 10a,349.42,CCCc1nc(C)c2c(NS(C)(=O)=O)nc3ccc(OC)nc3n12,CHEMBL1085374,Q9Y233,JM0,5SI5
CHEMBL4409,IC50,1.34,CHEMBL1119709,phosphodiesterase 10a,392.46,Cn1cc(-c2ccncc2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)n1,CHEMBL562318,Q9Y233,PF9,5SJX
CHEMBL4409,IC50,12.0,CHEMBL1646316,phosphodiesterase 10a,346.42,Cc1nc2c3ccccc3nc(SCc3nc4ccccc4[nH]3)n2n1,CHEMBL1641615,Q9Y233,AXC,2Y0J
CHEMBL4409,IC50,11.0,CHEMBL1918958,phosphodiesterase 10a,319.37,COc1ccc2nc(C)c3c(C)nc(-c4cnccc4C)n3c2n1,CHEMBL1916091,Q9Y233,546,3SNI
CHEMBL4409,IC50,0.7,CHEMBL1918958,phosphodiesterase 10a,336.37,COc1cc(F)cc2c1nc(C)c1c(C)nc(-c3ccncc3C)n12,CHEMBL1916113,Q9Y233,540,3SN7
CHEMBL4409,IC50,0.7,CHEMBL1918958,phosphodiesterase 10a,390.8,Cc1cnccc1-c1nc(C)c2c(C)nc3c(Cl)cc(C(F)(F)F)cc3n12,CHEMBL1916132,Q9Y233,548,3SNL
CHEMBL4409,IC50,858.0,CHEMBL1943755,phosphodiesterase 10a,311.39,COc1cc(C)c2nc3[nH]nc(C)c3c(N3CCNCC3)c2c1,CHEMBL1939782,Q9Y233,0CV,3UUO
CHEMBL4409,IC50,12.0,CHEMBL1960211,phosphodiesterase 10a,367.41,CCOc1ccccc1-c1ccc(-c2nc3ccncc3c(O)c2C#N)cc1,CHEMBL1957361,Q9Y233,4HN,4AEL
CHEMBL4409,IC50,31.5,CHEMBL2187450,phosphodiesterase 10a,406.45,CN(C)C(=O)c1nn(C)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,CHEMBL2180801,Q9Y233,IBV,5SE1
CHEMBL4409,IC50,0.097,CHEMBL2215181,phosphodiesterase 10a,415.5,OCC1CCN(c2ncccc2Oc2ccc(Nc3nc4ccccc4[nH]3)cc2)CC1,CHEMBL2206214,Q9Y233,15J,4HEU
CHEMBL4409,IC50,4.5,CHEMBL3088429,phosphodiesterase 10a,401.43,O=C(c1ccc(Oc2nccnc2N2CCOCC2)cc1)c1nc2ccccc2[nH]1,CHEMBL3086091,Q9Y233,2F5,4MVH
CHEMBL4409,IC50,92.0,CHEMBL3094629,phosphodiesterase 10a,393.49,CC(C)c1nc2ccc(OCc3ccc4ccccc4n3)cc2n1-c1ccccc1,CHEMBL3091492,Q9Y233,P98,3WI2
CHEMBL4409,IC50,4.1,CHEMBL3297609,phosphodiesterase 10a,331.38,COc1nc2cccnc2n1-c1ccc(Nc2ccc(C)cn2)cc1,CHEMBL3287662,Q9Y233,2KR,4P1R
CHEMBL4409,IC50,2.2,CHEMBL3297609,phosphodiesterase 10a,351.44,COc1nc2cccnc2n1C1CC(Nc2nc3ccccc3s2)C1,CHEMBL3287905,Q9Y233,1IS,4P0N
CHEMBL4409,IC50,0.1,CHEMBL3369681,phosphodiesterase 10a,399.45,O=C(c1ccc(Oc2ncccc2C2CCOCC2)cc1)c1nc2ccccc2[nH]1,CHEMBL3319208,Q9Y233,2W1,4PHW
CHEMBL4409,IC50,0.08,CHEMBL3630287,phosphodiesterase 10a,499.55,COc1cn(-c2ccc3c(c2F)C(C)(C)C(=O)N3CC2CC2)nc(-c2ccnn2-c2ccccc2)c1=O,CHEMBL3629735,Q9Y233,4LP,5AXQ
