ID,SMILES
5SJR_lig,CCOc1ccccc1-c1ccc(-c2nc3ccc(F)cc3c(N[C@H](C)C(=O)O)c2C#N)cc1
5SI5_lig,CCCc1nc(C)c2c(NS(C)(=O)=O)nc3ccc(OC)nc3n12
5SJX_lig,Cn1cc(-c2ccncc2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)n1
2Y0J_lig,Cc1nc2c3ccccc3nc(SCc3nc4ccccc4[nH]3)n2n1
3SNI_lig,COc1ccc2nc(C)c3c(C)nc(-c4cnccc4C)n3c2n1
3SN7_lig,COc1cc(F)cc2c1nc(C)c1c(C)nc(-c3ccncc3C)n12
3SNL_lig,Cc1cnccc1-c1nc(C)c2c(C)nc3c(Cl)cc(C(F)(F)F)cc3n12
3UUO_lig,COc1cc(C)c2nc3[nH]nc(C)c3c(N3CCNCC3)c2c1
4AEL_lig,CCOc1ccccc1-c1ccc(-c2nc3ccncc3c(O)c2C#N)cc1
5SE1_lig,CN(C)C(=O)c1nn(C)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1
4HEU_lig,OCC1CCN(c2ncccc2Oc2ccc(Nc3nc4ccccc4[nH]3)cc2)CC1
4MVH_lig,O=C(c1ccc(Oc2nccnc2N2CCOCC2)cc1)c1nc2ccccc2[nH]1
3WI2_lig,CC(C)c1nc2ccc(OCc3ccc4ccccc4n3)cc2n1-c1ccccc1
4P1R_lig,COc1nc2cccnc2n1-c1ccc(Nc2ccc(C)cn2)cc1
4P0N_lig,COc1nc2cccnc2n1C1CC(Nc2nc3ccccc3s2)C1
4PHW_lig,O=C(c1ccc(Oc2ncccc2C2CCOCC2)cc1)c1nc2ccccc2[nH]1
5AXQ_lig,COc1cn(-c2ccc3c(c2F)C(C)(C)C(=O)N3CC2CC2)nc(-c2ccnn2-c2ccccc2)c1=O
5AXP_lig,COc1cn(-c2ccc(N3CCOC3=O)cc2F)nc(-c2ccnn2-c2ccccc2)c1=O
5B4L_lig,O=c1c(OCCN2CCn3c2nc2ccccc23)cn(CC2CC2)nc1-c1ccnn1-c1ccccc1
5SET_lig,Cn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1
5SE0_lig,O=C(Nc1cc(-c2ccccn2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1
5SF4_lig,CN(C)CCn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1
5SEW_lig,CNC(=O)c1c(NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)cnn1CCOC
5SFU_lig,O=C(Nc1cnccc1C(=O)N1CCCC1)c1nc(C2CC2)ccc1Nc1cncnc1
5SE5_lig,CNC(=O)c1c(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)cnn1C
5SFL_lig,Cn1ncc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c1C(=O)NCC(C)(C)O
5SKK_lig,CNC(=O)c1c(NC(=O)c2nc([C@H]3CCOC3)cnc2Nc2cncnc2)cnn1C
5SFN_lig,Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc2ccccc2n1C
5SF8_lig,Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)nn1-c1ccccn1
7QPM_lig,Cc1cc(C)n2cc(CSc3nc(-c4ccccc4)cn3C)nc2n1
7QPQ_lig,Cn1cc(-c2ccccc2)nc1CSc1nc2ccccn2n1
7QPV_lig,Cc1cccn2nc(CCc3nc(-c4ccccc4)cn3C)nc12
7QQ4_lig,Cc1ncc(C)n2nc(CCc3nc(-c4ccccc4)cn3C)nc12
7QPF_lig,Cc1cc(C)n2c(Br)c(CSc3nc4ccccc4[nH]3)nc2n1
6MSC_lig,COc1cc(F)cc2c1nnc1c2c(-c2ccncc2C)nn1C
6KDX_lig,Cc1cc(C)n2nc(CCNc3ccc4ccccc4n3)nc2n1
5EDI_lig,Cc1cc(Cl)c(C)n2nc(CCc3nc(N4CCCC4)nn3C)nc12
5I2R_lig,O=c1ccn(-c2cccc(OC(F)(F)F)c2)nc1-c1ccnn1-c1ccccc1
3UI7_lig,COc1cc(C)c2nc3[nH]nc(C)c3c(CN3CCOCC3)c2c1
4DFF_lig,COc1cc2c(cc1OC)-c1c(-c3cncs3)ncn1CC2
5C2A_lig,Cc1nc(C)c(CNc2nc(C3CC3)nc(Cl)c2C)s1
5C2E_lig,Cc1nc(C)c(CNc2nc(OCCc3ccccn3)nc(Cl)c2C)s1
5DH5_lig,Cn1cc(CNc2cc(OC[C@H]3C[C@@H]3c3ccccn3)nc3ccnn23)cn1
4ZO5_lig,COc1ccc(-n2c(CCN3C(=O)c4cccc(OC(C)C)c4C3=O)nc3ccccc3c2=O)cc1
